county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
05037,8,1,8,22,2.75,0.0,0.125,2025
05041,29,3,29,80,2.7586206896551726,0.0,0.3448275862068966,2025
05043,3,1,3,12,4.0,0.0,0.3333333333333333,2025
05045,48,3,50,125,2.5,0.04,0.38,2023
05047,5,1,5,24,4.8,0.0,0.6,2023
05049,11,4,11,39,3.5454545454545454,0.09090909090909091,0.45454545454545453,2025
05051,19,0,23,61,2.652173913043478,0.21739130434782608,0.13043478260869565,2025
05053,3,0,3,6,2.0,0.0,0.0,2009
05055,6,1,6,17,2.8333333333333335,0.0,0.0,2021
05057,1,0,1,2,2.0,0.0,1.0,2025
05061,1,0,1,3,3.0,0.0,0.0,1990
05063,24,4,26,68,2.6153846153846154,0.038461538461538464,0.15384615384615385,2025
05065,17,3,17,41,2.411764705882353,0.0,0.058823529411764705,2017
05067,26,8,27,86,3.185185185185185,0.0,0.25925925925925924,2025
05069,60,18,78,293,3.7564102564102564,0.23076923076923078,0.23076923076923078,2025
05075,8,2,8,20,2.5,0.0,0.125,2025
05077,9,0,9,23,2.5555555555555554,0.0,0.7777777777777778,2024
05079,5,1,5,14,2.8,0.0,0.4,2023
05081,1,0,1,2,2.0,0.0,0.0,2009
05085,12,1,12,30,2.5,0.0,0.3333333333333333,2025
05091,12,3,13,46,3.5384615384615383,0.15384615384615385,0.3076923076923077,2025
05093,3,1,3,12,4.0,0.0,0.3333333333333333,2025
05095,22,1,24,50,2.0833333333333335,0.041666666666666664,0.25,2018
05097,16,1,16,40,2.5,0.0,0.0,2019
05101,2,1,2,6,3.0,0.0,0.0,2017
05103,12,2,12,28,2.3333333333333335,0.0,0.4166666666666667,2025
05105,3,1,4,10,2.5,0.25,0.25,2019
05107,45,13,46,175,3.8043478260869565,0.021739130434782608,0.043478260869565216,2025
05111,11,1,11,29,2.6363636363636362,0.0,0.18181818181818182,2020
05113,2,1,2,9,4.5,0.0,0.0,2020
05115,7,1,8,22,2.75,0.125,0.125,2022
05117,12,1,12,24,2.0,0.0,0.16666666666666666,2025
05119,168,24,179,540,3.016759776536313,0.03910614525139665,0.4245810055865922,2025
