"Row,Issuer_Name,Issue_Date,lead_CUSIP,emma_security_details_url,prospectus_url"
"37,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,79768HDZ8,https://emma.msrb.org/Security/Details/79768HDZ8,https://emma.msrb.org/ES1184461-ES925614-ES1326629.pdf"
"38,City & County of Honolulu HI,2018-09-05,438687DW2,https://emma.msrb.org/Security/Details/438687DW2,https://emma.msrb.org/ES1195945-ER896332-ER1296861.pdf"
"39,City of St Paul MN Sewer Revenue,2018-10-10,793071RQ6,https://emma.msrb.org/Security/Details/793071RQ6,https://emma.msrb.org/ER1151669-ER900832-ER1301301.pdf"
"40,City of Minneapolis MN,2018-10-31,60375BDZ6,https://emma.msrb.org/Security/Details/60375BDZ6,https://emma.msrb.org/ES1208424-ES943762-ES1344533.pdf"
"41,City of Los Angeles CA Wastewater System Revenue,2018-11-15,53945CJC5,https://emma.msrb.org/Security/Details/53945CJC5,https://emma.msrb.org/ER1165936-ER911496-ER1311964.pdf"
"42,City of Malden MA,2018-11-28,561076R28,https://emma.msrb.org/Security/Details/561076R28,https://emma.msrb.org/ES1213307-ES947485-ES1348269.pdf"
"43,City of Bloomington MN,2018-12-05,094780V42,https://emma.msrb.org/Security/Details/094780V42,https://emma.msrb.org/ER1167878-ER912933-ER1313398.pdf"
"44,City of St Louis Park MN,2018-12-28,85233GAA2,https://emma.msrb.org/Security/Details/85233GAA2,https://emma.msrb.org/ES1226847-ES956288-ES1357279.pdf"
"45,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,79772ECA5,https://emma.msrb.org/Security/Details/79772ECA5,https://emma.msrb.org/ER1196139-ER936152-ER1337167.pdf"
"46,City of Springfield OH,2019-03-27,851103SP7,https://emma.msrb.org/Security/Details/851103SP7,https://emma.msrb.org/ER1205814-ER944110-ER1345157.pdf"
"47,Metropolitan Pier & Exposition Authority,2019-05-08,59225CAA6,https://emma.msrb.org/Security/Details/59225CAA6,NO OS SUBMITTED"
"48,City of St Paul MN Sewer Revenue,2019-06-19,793071SL6,https://emma.msrb.org/Security/Details/793071SL6,https://emma.msrb.org/ES1272341-ES995769-ES1397201.pdf"
"49,Port of Los Angeles,2019-09-18,544552B43,https://emma.msrb.org/Security/Details/544552B43,https://emma.msrb.org/ER1252791-ER979149-ER1380636.pdf"
"50,City & County of San Francisco CA,2019-10-23,79765D2A7,https://emma.msrb.org/Security/Details/79765D2A7,https://emma.msrb.org/ES1312722-ES1025651-ES1427554.pdf"
"51,District of Columbia Water & Sewer Authority,2019-11-06,254845QB9,https://emma.msrb.org/Security/Details/254845QB9,https://emma.msrb.org/ES1311861-ES1025042-ES1426916.pdf"
"52,City of Minneapolis MN,2019-12-05,60375BGP5,https://emma.msrb.org/Security/Details/60375BGP5,https://emma.msrb.org/ER1276794-ER996504-ER1399663.pdf"
"53,City of Portland ME General Airport Revenue,2019-12-05,736564DW2,https://emma.msrb.org/Security/Details/736564DW2,https://emma.msrb.org/ER1272920-ER993617-ER1396484.pdf"
"54,Stockton Public Financing Authority,2019-12-05,861398CD5,https://emma.msrb.org/Security/Details/861398CD5,https://emma.msrb.org/ES1328982-ES1036897-ES1439752.pdf"
"55,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,79765R4K2,https://emma.msrb.org/Security/Details/79765R4K2,https://emma.msrb.org/ER1294533-ES1040166-ES1443450.pdf"
"56,City of St Paul MN Sewer Revenue,2020-03-11,793071TG6,https://emma.msrb.org/Security/Details/793071TG6,https://emma.msrb.org/ER1312402-ER1022705-ER1428839.pdf"
"57,City of Berkeley CA,2020-04-16,084113VF3,https://emma.msrb.org/Security/Details/084113VF3,https://emma.msrb.org/RE1347013-RE1047751-RE1456143.pdf"
"58,City & County of San Francisco CA Community Facilities District No 2014-1,2020-05-14,79772ECV9,https://emma.msrb.org/Security/Details/79772ECV9,https://emma.msrb.org/SS1381600-SS1075701-SS1483050.pdf"
"59,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,013630DT2,https://emma.msrb.org/Security/Details/013630DT2,https://emma.msrb.org/RE1353388-RE1052206-RE1461006.pdf"
"60,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,812643UE2,https://emma.msrb.org/Security/Details/812643UE2,https://emma.msrb.org/SS1393189-SS1083903-SS1491943.pdf"
"61,City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-01,79771FFJ1,https://emma.msrb.org/Security/Details/79771FFJ1,NO OS SUBMITTED"
"62,City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-01,79771FFJ1,https://emma.msrb.org/Security/Details/79771FFJ1,https://emma.msrb.org/ER1294533-ES1040166-ES1443450.pdf,OS found at issue level (part of 2019 Series ABC 50-CUSIP offering)"
"63,City of Bend OR Sewer Revenue,2020-09-30,081647ER6,https://emma.msrb.org/Security/Details/081647ER6,https://emma.msrb.org/P11413696-P11098194-P11507222.pdf"
