ID,Year,Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Industry_Full,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Jurisdiction_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Entity_Type,Service_Function,Independence_Level,Geographic_Scope,State_Abb_Classified,State_Name,Classification_Confidence,Issue_Year,City_Name,County_Name,Is_Municipal,State_Year,City_State_Year,city_fips7,city_geo_name,city_name_crosswalk,city_match_method,panel_year,is_in_578_panel,cusip_duplicate_flag,included,cusip_repaired
2018-3720,2018.0,3720,79768HEK0,San Francisco City & County Public Utilities Commission Wastewater Revenue,2.57,9335000.0,2018-08-09,2031-10-01,FED & ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.88,"Sustainable Water, Green Buildings","Infrastructure, BREEAM Certified",CITY,San Francisco,City of San Francisco,Department,Water/Wastewater,INTEGRATED,Single city,CA,California,HIGH,2018.0,san francisco,,True,CA_2018,san francisco_CA_2018,667000.0,san francisco,San Francisco,existing_city_name,2018.0,True,False,0,0
2018-3721,2018.0,3721,79768HEE4,San Francisco City & County Public Utilities Commission Wastewater Revenue,2.1,7270000.0,2018-08-09,2026-10-01,FED & ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.88,"Sustainable Water, Green Buildings","Infrastructure, BREEAM Certified",CITY,San Francisco,City of San Francisco,Department,Water/Wastewater,INTEGRATED,Single city,CA,California,HIGH,2018.0,san francisco,,True,CA_2018,san francisco_CA_2018,667000.0,san francisco,San Francisco,existing_city_name,2018.0,True,False,0,0
2018-3722,2019.0,3722,79772ECL1,City & County of San Francisco CA Community Facilities District No 2014-1,3.648,2830000.0,2019-02-26,2029-09-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,Yes,Yes,Yes,Yes,Yes,Yes,MEL,Mello-Roos,--,Green Buildings,LEED Certified,CITY,San Francisco,City of San Francisco,Special district,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3730,2019.0,3730,79765DZ52,City & County of San Francisco CA,1.29,6275000.0,2019-10-23,2029-04-01,FED & ST TAX-EXEMPT,REFUNDING,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,--,"Clean Transportation, Renewable Energy","Infastructure, Vehicles",CITY,San Francisco,City of San Francisco,Direct government,General government,INTEGRATED,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3737,2019.0,3737,79772ECG2,City & County of San Francisco CA Community Facilities District No 2014-1,3.264,1865000.0,2019-02-26,2025-09-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,Yes,Yes,Yes,Yes,Yes,Yes,MEL,Mello-Roos,--,Green Buildings,LEED Certified,CITY,San Francisco,City of San Francisco,Special district,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3738,2019.0,3738,79772ECK3,City & County of San Francisco CA Community Facilities District No 2014-1,3.538,2570000.0,2019-02-26,2028-09-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,Yes,Yes,Yes,Yes,Yes,Yes,MEL,Mello-Roos,--,Green Buildings,LEED Certified,CITY,San Francisco,City of San Francisco,Special district,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3739,2019.0,3739,79772ECP2,City & County of San Francisco CA Community Facilities District No 2014-1,3.968,3730000.0,2019-02-26,2032-09-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,Yes,Yes,Yes,Yes,Yes,Yes,MEL,Mello-Roos,--,Green Buildings,LEED Certified,CITY,San Francisco,City of San Francisco,Special district,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3745,2019.0,3745,79765D2S8,City & County of San Francisco CA,2.43,53985000.0,2019-10-23,2050-04-01,FED & ST TAX-EXEMPT,REFUNDING,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,--,"Clean Transportation, Renewable Energy","Infastructure, Vehicles",CITY,San Francisco,City of San Francisco,Direct government,General government,INTEGRATED,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,1,0
2018-3771,2019.0,3771,79765D2F6,City & County of San Francisco CA,2.13,9290000.0,2019-10-23,2039-04-01,FED & ST TAX-EXEMPT,REFUNDING,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,--,"Clean Transportation, Renewable Energy","Infastructure, Vehicles",CITY,San Francisco,City of San Francisco,Direct government,General government,INTEGRATED,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3772,2019.0,3772,79765D2N9,City & County of San Francisco CA,2.33,12225000.0,2019-10-23,2046-04-01,FED & ST TAX-EXEMPT,REFUNDING,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,--,"Clean Transportation, Renewable Energy","Infastructure, Vehicles",CITY,San Francisco,City of San Francisco,Direct government,General government,INTEGRATED,Single city,CA,California,HIGH,2019.0,san francisco,,True,CA_2019,san francisco_CA_2019,667000.0,san francisco,San Francisco,existing_city_name,2019.0,True,False,0,0
2018-3780,2019.0,3780,59225CAK4,Metropolitan Pier & Exposition Authority,3.91,1730000.0,2019-05-08,2031-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3781,2019.0,3781,59225CAN8,Metropolitan Pier & Exposition Authority,4.07,2330000.0,2019-05-08,2034-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3782,2019.0,3782,59225CAE8,Metropolitan Pier & Exposition Authority,3.51,975000.0,2019-05-08,2026-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3783,2019.0,3783,59225CAF5,Metropolitan Pier & Exposition Authority,3.6,1105000.0,2019-05-08,2027-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3784,2019.0,3784,59225CAQ1,Metropolitan Pier & Exposition Authority,4.12,2795000.0,2019-05-08,2036-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3785,2019.0,3785,59225CAS7,Metropolitan Pier & Exposition Authority,4.21,3330000.0,2019-05-08,2038-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3786,2019.0,3786,59225CAV0,Metropolitan Pier & Exposition Authority,4.32,465000.0,2019-05-08,2041-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3787,2019.0,3787,59225CAG3,Metropolitan Pier & Exposition Authority,3.67,1245000.0,2019-05-08,2028-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3788,2019.0,3788,59225CAJ7,Metropolitan Pier & Exposition Authority,3.83,1555000.0,2019-05-08,2030-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3789,2019.0,3789,59225CAU2,Metropolitan Pier & Exposition Authority,4.29,3935000.0,2019-05-08,2040-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3790,2019.0,3790,59225CAL2,Metropolitan Pier & Exposition Authority,3.97,1915000.0,2019-05-08,2032-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3791,2019.0,3791,59225CAP3,Metropolitan Pier & Exposition Authority,4.07,2555000.0,2019-05-08,2035-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3792,2019.0,3792,59225CAR9,Metropolitan Pier & Exposition Authority,4.17,3055000.0,2019-05-08,2037-06-15,FED TAX-EXEMPT/ST TAXABLE,NEW MONEY,Financing,--,No,No,No,No,No,DEV,Development,--,Energy Efficiency,,MULTI_JURISDICTIONAL,Chicago Metropolitan Area,Chicago Metropolitan Area,Regional commission,Other,MULTI_GOVERNED,Multi-city,IL,Illinois,MEDIUM,2019.0,,,True,IL_2019.0,chicago_IL_2019,1714000.0,chicago,Chicago,name_parse,2019.0,True,False,0,0
2018-3793,2018.0,3793,79768HEG9,San Francisco City & County Public Utilities Commission Wastewater Revenue,2.26,8035000.0,2018-08-09,2028-10-01,FED & ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.88,"Sustainable Water, Green Buildings","Infrastructure, BREEAM Certified",CITY,San Francisco,City of San Francisco,Department,Water/Wastewater,INTEGRATED,Single city,CA,California,HIGH,2018.0,san francisco,,True,CA_2018,san francisco_CA_2018,667000.0,san francisco,San Francisco,existing_city_name,2018.0,True,False,0,0
2018-3794,2018.0,3794,79768HES3,San Francisco City & County Public Utilities Commission Wastewater Revenue,2.9,13245000.0,2018-08-09,2038-10-01,FED & ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.88,"Sustainable Water, Green Buildings","Infrastructure, BREEAM Certified",CITY,San Francisco,City of San Francisco,Department,Water/Wastewater,INTEGRATED,Single city,CA,California,HIGH,2018.0,san francisco,,True,CA_2018,san francisco_CA_2018,667000.0,san francisco,San Francisco,existing_city_name,2018.0,True,False,0,0
2018-3994,2018.0,3994,71779QBH4,Philadelphia Authority for Industrial Development,2.77,415000.0,2018-04-26,2025-02-15,FED & ST TAX-EXEMPT,NEW MONEY,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,--,Sustainable Water,Infastructure,CITY,Philadelphia,City of Philadelphia,Development corporation,Financing/Bond issuance only,SEMI_DEPENDENT,Single county,PA,Pennsylvania,MEDIUM,2018.0,philadelphia,,True,PA_2018,philadelphia_PA_2018,4260000.0,philadelphia,Philadelphia,existing_city_name,2018.0,True,False,1,0
2018-3995,2019.0,3995,736564EA9,City of Portland ME General Airport Revenue,1.55,1665000.0,2019-12-05,2025-03-01,FED & ST TAX-EXEMPT,REFUNDING,Transportation,Yes,No,No,No,No,No,ARPT,Airport,--,Green Buildings,LEED Certified,CITY,Portland ME General,City of Portland ME General,Direct government,Transportation,INTEGRATED,Single city,ME,Maine,HIGH,2019.0,portland,,True,ME_2019,portland_ME_2019,2360545.0,portland,Portland,existing_city_name,2019.0,True,False,0,0
2018-4002,2018.0,4002,198502AF3,City of Columbia SC Stormwater System Revenue,2.23,795000.0,2018-12-19,2025-02-01,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,SPLASMT,Special Assessment,--,Climate Change Adaptation,,CITY,Columbia SC,City of Columbia SC,Direct government,Water/Wastewater,INTEGRATED,Single city,SC,South Carolina,HIGH,2018.0,columbia,,True,SC_2018,columbia_SC_2018,4516000.0,columbia,Columbia,existing_city_name,2018.0,True,False,1,0
2018-4007,2018.0,4007,094780V91,City of Bloomington MN,2.48,665000.0,2018-12-05,2025-02-01,FED & ST TAX-EXEMPT,NEW MONEY,General Government,Yes,Yes,Yes,No,Yes,Yes,GO,General Obligation,4.63,Sustainable Water,Infastructure,CITY,Bloomington,City of Bloomington,Direct government,General government,INTEGRATED,Single city,MN,Minnesota,HIGH,2018.0,bloomington,,True,MN_2018,bloomington_MN_2018,2706616.0,bloomington,Bloomington,existing_city_name,2018.0,True,False,0,0
2020-2,2020.0,2,79765R5A3,City of San Francisco CA Public Utilities Commission Water Revenue,3.303,308895000.0,2020-01-09,2039-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,No,Yes,Yes,WTRSWR,Water/Sewer,3.97,Sustainable Water,"Plumbing System, Infastructure",CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-7,2020.0,7,79771FAA5,City of San Francisco CA Public Utilities Commission Water Revenue,2.825,300005000.0,2020-10-21,2041-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,3.97,"Sustainable Water, Green Buildings",Plumbing System,CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,0,0
2020-17,2020.0,17,86754EAU0,Sunnyvale Financing Authority,2.31,31825000.0,2020-11-12,2050-04-01,FED & ST TAX-EXEMPT,NEW MONEY,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,4.6,"Renewable Energy, Green Buildings","Solar, LEED Certified",CITY,Sunnyvale,City of Sunnyvale,Financing authority,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,MEDIUM,2020.0,sunnyvale,,True,CA_2020,sunnyvale_CA_2020,677000.0,sunnyvale,Sunnyvale,existing_city_name,2020.0,True,False,1,0
2020-34,2020.0,34,79771FFJ1,City of San Francisco CA Public Utilities Commission Water Revenue,2.803,29910000.0,2020-09-01,2031-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,No,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-38,2020.0,38,79765R5B1,City of San Francisco CA Public Utilities Commission Water Revenue,3.473,204340000.0,2020-01-09,2043-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,3.97,Sustainable Water,"Plumbing System, Infastructure",CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-91,2020.0,91,79765R5J4,City of San Francisco CA Public Utilities Commission Water Revenue,1.83,103720000.0,2020-09-23,2050-11-01,FED & ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,No,Yes,Yes,WTRSWR,Water/Sewer,--,"Sustainable Water, Green Buildings","Infrastructure, BREEAM Certified",CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-97,2020.0,97,79771FAB3,City of San Francisco CA Public Utilities Commission Water Revenue,2.945,41430000.0,2020-10-21,2047-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,3.97,"Sustainable Water, Green Buildings",Plumbing System,CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,0,0
2020-101,2020.0,101,812643VJ0,City of Seattle WA Municipal Light & Power Revenue,1.77,6450000.0,2020-08-05,2049-07-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,MUNUTIL,Municipal Utility,4.55,Renewable Energy,Hydro,CITY,Seattle WA Municipal Light & Power,City of Seattle WA Municipal Light & Power,Direct government,Electric/Gas utility,INTEGRATED,Single city,WA,Washington,HIGH,2020.0,seattle,,True,WA_2020,seattle_WA_2020,5363000.0,seattle,Seattle,existing_city_name,2020.0,True,False,1,0
2020-108,2020.0,108,013630EL8,City of Albuquerque NM Refuse Removal & Disposal Revenue,1.95,1960000.0,2020-06-30,2039-07-01,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,--,No,No,No,No,No,SOLWST,Solid Waste,3.33,Sustainable Water,Infastructure,CITY,Albuquerque,City of Albuquerque,Direct government,Environmental,INTEGRATED,Single city,NM,New Mexico,HIGH,2020.0,albuquerque,,True,NM_2020,albuquerque_NM_2020,3502000.0,albuquerque,Albuquerque,existing_city_name,2020.0,True,False,0,0
2020-116,2020.0,116,86754EAN6,Sunnyvale Financing Authority,1.8,3970000.0,2020-11-12,2036-04-01,FED & ST TAX-EXEMPT,NEW MONEY,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,4.6,"Renewable Energy, Green Buildings","Solar, LEED Certified",CITY,Sunnyvale,City of Sunnyvale,Financing authority,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,MEDIUM,2020.0,sunnyvale,,True,CA_2020,sunnyvale_CA_2020,677000.0,sunnyvale,Sunnyvale,existing_city_name,2020.0,True,False,0,0
2020-117,2020.0,117,86754EAV8,Sunnyvale Financing Authority,2.7,14475000.0,2020-11-12,2052-04-01,FED & ST TAX-EXEMPT,NEW MONEY,General Government,Yes,No,No,No,No,No,APPROP,Appropriation,4.6,"Renewable Energy, Green Buildings","Solar, LEED Certified",CITY,Sunnyvale,City of Sunnyvale,Financing authority,Financing/Bond issuance only,SEMI_DEPENDENT,Single city,CA,California,MEDIUM,2020.0,sunnyvale,,True,CA_2020,sunnyvale_CA_2020,677000.0,sunnyvale,Sunnyvale,existing_city_name,2020.0,True,False,1,0
2020-118,2020.0,118,812643UQ5,City of Seattle WA Municipal Light & Power Revenue,0.94,9130000.0,2020-08-05,2031-07-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,MUNUTIL,Municipal Utility,4.55,Renewable Energy,Hydro,CITY,Seattle WA Municipal Light & Power,City of Seattle WA Municipal Light & Power,Direct government,Electric/Gas utility,INTEGRATED,Single city,WA,Washington,HIGH,2020.0,seattle,,True,WA_2020,seattle_WA_2020,5363000.0,seattle,Seattle,existing_city_name,2020.0,True,False,1,0
2020-121,2020.0,121,79771FFL6,City of San Francisco CA Public Utilities Commission Water Revenue,3.053,2925000.0,2020-01-09,2033-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,,Infastructure,CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-122,2020.0,122,094725MG0,City of Bloomington IN Sewage Works Revenue,1.47,1715000.0,2020-12-23,2038-01-01,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,Yes,Yes,No,WTRSWR,Water/Sewer,--,Sustainable Water,,CITY,Bloomington IN,City of Bloomington IN,Direct government,Water/Wastewater,INTEGRATED,Single city,IN,Indiana,HIGH,2020.0,bloomington,,True,IN_2020,bloomington_IN_2020,1805860.0,bloomington,Bloomington,existing_city_name,2020.0,True,False,0,0
2020-127,2020.0,127,79771FFH5,City of San Francisco CA Public Utilities Commission Water Revenue,2.703,3060000.0,2020-01-09,2030-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-128,2020.0,128,79765R4Z9,City of San Francisco CA Public Utilities Commission Water Revenue,3.153,4310000.0,2020-01-09,2034-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,3.97,Sustainable Water,"Plumbing System, Infastructure",CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-129,2020.0,129,79765R4T3,City of San Francisco CA Public Utilities Commission Water Revenue,2.533,4000000.0,2020-01-09,2028-11-01,FED TAXABLE/ST TAX-EXEMPT,REFUNDING,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,3.97,Sustainable Water,"Plumbing System, Infastructure",CITY,San Francisco CA Public Utilities Commission,City of San Francisco CA Public Utilities Commission,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,CA,California,HIGH,2020.0,san francisco,,True,CA_2020,san francisco_CA_2020,667000.0,san francisco,San Francisco,existing_city_name,2020.0,True,False,1,0
2020-138,2020.0,138,812643US1,City of Seattle WA Municipal Light & Power Revenue,1.16,9875000.0,2020-08-05,2033-07-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,MUNUTIL,Municipal Utility,4.55,Renewable Energy,Hydro,CITY,Seattle WA Municipal Light & Power,City of Seattle WA Municipal Light & Power,Direct government,Electric/Gas utility,INTEGRATED,Single city,WA,Washington,HIGH,2020.0,seattle,,True,WA_2020,seattle_WA_2020,5363000.0,seattle,Seattle,existing_city_name,2020.0,True,False,1,0
2020-141,2020.0,141,013630DZ8,City of Albuquerque NM Refuse Removal & Disposal Revenue,1.14,1145000.0,2020-06-30,2028-07-01,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,--,No,No,No,No,No,SOLWST,Solid Waste,3.33,Sustainable Water,Infastructure,CITY,Albuquerque,City of Albuquerque,Direct government,Environmental,INTEGRATED,Single city,NM,New Mexico,HIGH,2020.0,albuquerque,,True,NM_2020,albuquerque_NM_2020,3502000.0,albuquerque,Albuquerque,existing_city_name,2020.0,True,False,0,0
