ID,Year,Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Industry_Full,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Jurisdiction_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Entity_Type,Service_Function,Independence_Level,Geographic_Scope,State_Abb_Classified,State_Name,Classification_Confidence,Issue_Year,City_Name,County_Name,Is_Municipal,State_Year,City_State_Year,city_fips7,city_geo_name,city_name_crosswalk,city_match_method,panel_year,is_in_578_panel,cusip_duplicate_flag,included,cusip_repaired
2013-215,2013.0,215,397730RH7,City of Gresham OR,3.25,375000.0,2013-07-30,2021-07-30,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-216,2013.0,216,397730RK0,City of Gresham OR,3.65,375000.0,2013-07-30,2023-07-30,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-217,2013.0,217,397730RP9,City of Gresham OR,4.65,785000.0,2013-07-30,2031-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,1,0
2013-218,2013.0,218,397730RA2,City of Gresham OR,0.75,345000.0,2013-07-30,2014-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-219,2013.0,219,397730RG9,City of Gresham OR,3.05,375000.0,2013-07-30,2020-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-364,2013.0,364,655867SG5,City of Norfolk VA,4.854,2470000.0,2013-11-07,2032-08-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Norfolk,City of Norfolk,Direct government,General government,INTEGRATED,Single city,VA,Virginia,HIGH,2013.0,norfolk,,True,VA_2013,norfolk_VA_2013,5157000.0,norfolk,Norfolk,existing_city_name,2013.0,True,False,0,1
2013-612,2014.0,612,254845JZ4,District of Columbia Water & Sewer Authority,4.814,350000000.0,2014-07-23,2114-10-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.68,"Pollution Control, Sustainable Water","Green House Gas Control , Infastructure",CITY,District of Columbia,City of District of Columbia,Authority/Agency,Water/Wastewater,SEMI_DEPENDENT,Single city,DC,,HIGH,2014.0,,,True,DC_2014,washington_DC_2014,1150000.0,washington,Washington,manual_correction,2014.0,True,False,1,0
2013-735,2014.0,735,849103AA4,City of Spokane WA Water & Wastewater Revenue,0.19,5625000.0,2014-12-02,2015-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-736,2014.0,736,849103AD8,City of Spokane WA Water & Wastewater Revenue,1.03,6530000.0,2014-12-02,2018-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-737,2014.0,737,849103AG1,City of Spokane WA Water & Wastewater Revenue,1.95,7555000.0,2014-12-02,2021-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
