Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
Mississippi Development Bank,MS,STATE,Bond bank,Mississippi,State of Mississippi,32.30348,-90.1821462,"400 High St, Jackson, MS 39201, USA",ChIJuQuxCVQyKIYRbNgjoF_x7Tk,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Missouri Clean Energy District,MO,STATE,State agency,Missouri,State of Missouri,37.9642529,-91.8318334,"Missouri, USA",ChIJfeMiSNXmwIcRcr1mBFnEW7U,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
Missouri Joint Municipal Electric Utility Commission,MO,MULTI_JURISDICTIONAL,Authority/Agency,Missouri Municipal Region,Missouri Municipal Region,37.9642529,-91.8318334,"Missouri, USA",ChIJfeMiSNXmwIcRcr1mBFnEW7U,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
Missouri State Environmental Improvement & Energy Resources Authority,MO,STATE,State agency,Missouri,State of Missouri,38.5790295,-92.1732042,"201 W Capitol Ave, Jefferson City, MO 65101, USA",ChIJLVgOqlde24cRC0-jJlmiKcM,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Monona Grove School District/WI,WI,SCHOOL_DISTRICT,School district,Monona Grove,Monona Grove,43.0748965,-89.18964299999999,"Monona Grove School District, WI, USA",ChIJ9-OHVLRbBogRPzTRw9GByGs,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Monroe County Intermediate School District,MI,SCHOOL_DISTRICT,School district,Monroe County Intermediate,Monroe County Intermediate,41.923927,-83.467023,"1101 S Raisinville Rd, Monroe, MI 48161, USA",ChIJwQ3osvxkO4gRDOhMobonyfg,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Monterey Park Financing Authority,CA,CITY,Financing authority,Monterey Park,City of Monterey Park,34.0590361,-118.1256391,"320 W Newmark Ave, Monterey Park, CA 91754, USA",ChIJt8WpsVnFwoAR3Ijj1f7oRpw,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Monterey Regional Waste Management Authority,CA,MULTI_JURISDICTIONAL,Regional commission,Monterey Region,Monterey Region,36.5871457,-121.8462322,"Monterey Regional Airport (MRY), 200 Fred Kane Dr, Monterey, CA 93940, USA",ChIJNzjrAAbljYARditzx-x9Poc,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Montgomery County Housing Opportunities Commission,MD,COUNTY,Authority/Agency,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_UPJ
Montgomery County Municipal Utility District No 112,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
