pdf,txt,pages,chars,seconds,status,error
P11550123-P11196959-P11615014.pdf,P11550123-P11196959-P11615014.txt,77,221582,1.6,ok,
P11550252-P11197056-P11615130.pdf,P11550252-P11197056-P11615130.txt,244,617162,5.74,ok,
P11568935-P11211286-P11631402.pdf,P11568935-P11211286-P11631402.txt,255,603722,6.07,ok,
P11571413-P11213268-P11633508.pdf,P11571413-P11213268-P11633508.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
P11591594-P11227520-P11649431.pdf,P11591594-P11227520-P11649431.txt,528,1841032,17.73,ok,
P11602915-P11236416-P11659389.pdf,P11602915-P11236416-P11659389.txt,490,2148051,15.59,ok,
P11603229-P11236637-P11659652.pdf,P11603229-P11236637-P11659652.txt,130,471361,3.85,ok,
P11604243-P11237326-P11660407.pdf,P11604243-P11237326-P11660407.txt,294,703336,2.21,ok,
P11609142-P11240564-P11664310.pdf,P11609142-P11240564-P11664310.txt,205,671695,3.7,ok,
P11611405-P11242428-P11666133.pdf,P11611405-P11242428-P11666133.txt,176,408584,3.32,ok,
P11636800-P11260714-P11686344.pdf,P11636800-P11260714-P11686344.txt,474,1419610,12.27,ok,
P11672937-P11287754-P11717236.pdf,P11672937-P11287754-P11717236.txt,252,630237,6.55,ok,
P11689191-P11216480-P11637253.pdf,P11689191-P11216480-P11637253.txt,130,387247,3.01,ok,
P11692854-P11302028-P11732844.pdf,P11692854-P11302028-P11732844.txt,266,828218,8.19,ok,
P11693706-P11302614-P11733473.pdf,P11693706-P11302614-P11733473.txt,480,1223635,11.23,ok,
P11725514-P11326261-P11759898.pdf,P11725514-P11326261-P11759898.txt,296,886209,5.7,ok,
P11769132-P11359000-P11796058.pdf,P11769132-P11359000-P11796058.txt,188,581422,2.63,ok,
P11783647-P11368887-P11806546.pdf,P11783647-P11368887-P11806546.txt,386,1022918,6.91,ok,
P11785027-P11369798-P11807377.pdf,P11785027-P11369798-P11807377.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
P11788970-P11372633-P11810608.pdf,P11788970-P11372633-P11810608.txt,204,611652,4.0,ok,
P11797579-P11378568-P11817122.pdf,P11797579-P11378568-P11817122.txt,240,579655,3.98,ok,
P11872315-P11432445-P11877374.pdf,P11872315-P11432445-P11877374.txt,244,659678,2.63,ok,
P11872319-P11432449-P11877380.pdf,P11872319-P11432449-P11877380.txt,244,659678,2.61,ok,
P21406465-P21093323-P21502152.pdf,P21406465-P21093323-P21502152.txt,192,450447,1.56,ok,
P21413204-P21094842-P21503807.pdf,P21413204-P21094842-P21503807.txt,398,1022669,7.13,ok,
P21416519-P21100709-P21510052.pdf,P21416519-P21100709-P21510052.txt,268,614539,3.44,ok,
P21417099-P21101135-P21510519.pdf,P21417099-P21101135-P21510519.txt,274,1064897,6.64,ok,
P21441975-P21119462-P21530771.pdf,P21441975-P21119462-P21530771.txt,344,1105833,9.35,ok,
P21458655-P21132163-P21544598.pdf,P21458655-P21132163-P21544598.txt,286,1084309,9.48,ok,
P21460562-P21133535-P21546142.pdf,P21460562-P21133535-P21546142.txt,366,611929,3.47,ok,
P21467249-P21138349-P21551271.pdf,P21467249-P21138349-P21551271.txt,243,634362,3.51,ok,
P21471764-P21141645-P21554828.pdf,P21471764-P21141645-P21554828.txt,183,550891,2.94,ok,
P21480325-P21147765-P21561430.pdf,P21480325-P21147765-P21561430.txt,140,223475,1.34,ok,
P21533908-P21185611-P21603404.pdf,P21533908-P21185611-P21603404.txt,91,183561,1.97,ok,
P21536543-P21187636-P21605628.pdf,P21536543-P21187636-P21605628.txt,336,950859,8.05,ok,
P21555285-P21201711-P21621571.pdf,P21555285-P21201711-P21621571.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
P21555452-P21201836-P21621714.pdf,P21555452-P21201836-P21621714.txt,574,1677121,12.6,ok,
P21565480-P21209389-P21630189.pdf,P21565480-P21209389-P21630189.txt,221,621330,4.44,ok,
