FIPS,City,State,Year,applicable_election_year,county_fips_int,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share,pres_dem_votes,pres_rep_votes,pres_total_votes
203000,anchorage,AK,2013,2012,2020,0.4040655737704918,0.38686589653440484,0.5705675539929683,3081.0,4544.0,7964
203000,anchorage,AK,2014,2012,2020,0.4040655737704918,0.38686589653440484,0.5705675539929683,3081.0,4544.0,7964
203000,anchorage,AK,2015,2012,2020,0.4040655737704918,0.38686589653440484,0.5705675539929683,3081.0,4544.0,7964
203000,anchorage,AK,2016,2012,2020,0.4040655737704918,0.38686589653440484,0.5705675539929683,3081.0,4544.0,7964
203000,anchorage,AK,2017,2016,2020,0.654938466393184,0.5813725490196079,0.3063025210084034,4151.0,2187.0,7140
203000,anchorage,AK,2018,2016,2020,0.654938466393184,0.5813725490196079,0.3063025210084034,4151.0,2187.0,7140
203000,anchorage,AK,2019,2016,2020,0.654938466393184,0.5813725490196079,0.3063025210084034,4151.0,2187.0,7140
203000,anchorage,AK,2020,2016,2020,0.654938466393184,0.5813725490196079,0.3063025210084034,4151.0,2187.0,7140
203000,anchorage,AK,2021,2020,2020,0.6719438325991189,0.6510604241696679,0.31786047752434304,4881.0,2383.0,7497
203000,anchorage,AK,2022,2020,2020,0.6719438325991189,0.6510604241696679,0.31786047752434304,4881.0,2383.0,7497
203000,anchorage,AK,2023,2020,2020,0.6719438325991189,0.6510604241696679,0.31786047752434304,4881.0,2383.0,7497
203000,anchorage,AK,2024,2020,2020,0.6719438325991189,0.6510604241696679,0.31786047752434304,4881.0,2383.0,7497
203000,anchorage,AK,2025,2024,2020,0.5633883704235463,0.5399752304940141,0.418467042796202,3924.0,3041.0,7267
107000,birmingham,AL,2013,2012,1073,0.5301649096859984,0.5260497897459183,0.46618824814588145,159876.0,141683.0,303918
107000,birmingham,AL,2014,2012,1073,0.5301649096859984,0.5260497897459183,0.46618824814588145,159876.0,141683.0,303918
107000,birmingham,AL,2015,2012,1073,0.5301649096859984,0.5260497897459183,0.46618824814588145,159876.0,141683.0,303918
107000,birmingham,AL,2016,2012,1073,0.5301649096859984,0.5260497897459183,0.46618824814588145,159876.0,141683.0,303918
107000,birmingham,AL,2017,2016,1073,0.5378976207049078,0.5157055928676391,0.4430374337176314,156873.0,134768.0,304191
107000,birmingham,AL,2018,2016,1073,0.5378976207049078,0.5157055928676391,0.4430374337176314,156873.0,134768.0,304191
107000,birmingham,AL,2019,2016,1073,0.5378976207049078,0.5157055928676391,0.4430374337176314,156873.0,134768.0,304191
107000,birmingham,AL,2020,2016,1073,0.5378976207049078,0.5157055928676391,0.4430374337176314,156873.0,134768.0,304191
107000,birmingham,AL,2021,2020,1073,0.5668344091523129,0.5575851317178562,0.426097444207115,181688.0,138843.0,325848
107000,birmingham,AL,2022,2020,1073,0.5668344091523129,0.5575851317178562,0.426097444207115,181688.0,138843.0,325848
107000,birmingham,AL,2023,2020,1073,0.5668344091523129,0.5575851317178562,0.426097444207115,181688.0,138843.0,325848
107000,birmingham,AL,2024,2020,1073,0.5668344091523129,0.5575851317178562,0.426097444207115,181688.0,138843.0,325848
107000,birmingham,AL,2025,2024,1073,0.5528398724572442,0.5427178745513953,0.43897303015694467,162112.0,131123.0,298704
120104,decatur,AL,2013,2012,1079,0.36355160295488775,0.35919784580498865,0.6288265306122449,5069.0,8874.0,14112
