Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_search
City of Decatur IL,2016-11-09,20,Yes,22205000,243127VC8,243127VC8;243127VD6;243127VE4;243127VF1;243127VG9;243127VH7;243127VJ3;243127VK0;243127VL8;243127VM6;243127VN4;243127VP9;243127VQ7;243127VR5;243127VS3;243127VT1;243127VU8;243127VV6;243127VW4;243127VX2,https://emma.msrb.org/Search/Search.aspx?criteria=243127VC8
City of Elkhart IN Sewage Works Revenue,2021-07-29,18,Yes,5445000,287605FJ3,287605FJ3;287605FK0;287605FL8;287605FM6;287605FN4;287605FP9;287605FQ7;287605FR5;287605FS3;287605FT1;287605FU8;287605FV6;287605FW4;287605FX2;287605FY0;287605FZ7;287605GA1;287605GB9,https://emma.msrb.org/Search/Search.aspx?criteria=287605FJ3
City of Fort Wayne IN Sewage Works Revenue,2022-05-25,24,Yes,25000000,349298SR1,349298SR1;349298SS9;349298ST7;349298SU4;349298SV2;349298SW0;349298SX8;349298SY6;349298SZ3;349298TA7;349298TB5;349298TD1;349298TF6;349298TH2;349298TK5;349298TN9;349298TQ2;349298TS8;349298TT6;349298TU3;349298TV1;349298TW9;349298TX7;349298TY5,https://emma.msrb.org/Search/Search.aspx?criteria=349298SR1
City of Hampton VA,2020-12-02,20,Yes,10725000,4095587K3,4095587K3;4095587L1;4095587M9;4095587N7;4095587P2;4095587Q0;4095587R8;4095587S6;4095587T4;4095587U1;4095587V9;4095587W7;4095587X5;4095587Y3;4095587Z0;4095588A4;4095588B2;4095588C0;4095588D8;4095588E6,https://emma.msrb.org/Search/Search.aspx?criteria=4095587K3
City of Joliet IL Waterworks & Sewerage Revenue,2025-02-04,8,Yes,45455000,479790KK2,479790KK2;479790KL0;479790KN6;479790KQ9;479790KR7;479790KU0;479790KV8;479790KW6,https://emma.msrb.org/Search/Search.aspx?criteria=479790KK2
City of Little Rock AR Water Reclamation System Revenue,2020-12-03,13,Yes,22850000,53746QAV2,53746QAV2;53746QAW0;53746QAX8;53746QAY6;53746QAZ3;53746QBA7;53746QBB5;53746QBC3;53746QBD1;53746QBE9;53746QBF6;53746QBG4;53746QBH2,https://emma.msrb.org/Search/Search.aspx?criteria=53746QAV2
City of Los Angeles CA Wastewater System Revenue,2023-09-13,1,No,280000000,54466DAA3,54466DAA3,https://emma.msrb.org/Search/Search.aspx?criteria=54466DAA3
City of Los Angeles Department of Airports,,8,Yes,263705000,5444452H1,5444452H1;5444452J7;5444452L2;5444452P3;5444452U2;5444452W8;5444452Y4;5444455R6,https://emma.msrb.org/Search/Search.aspx?criteria=5444452H1
City of Los Angeles Department of Airports,2025-01-27,1,Yes,4565000,5444452M0,5444452M0,https://emma.msrb.org/Search/Search.aspx?criteria=5444452M0
City of Los Angeles Department of Airports,2025-04-03,2,Yes,78995000,5444453A5,5444453A5;5444455X3,https://emma.msrb.org/Search/Search.aspx?criteria=5444453A5
