Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
City of Los Angeles Department of Airports,2025-04-27,1,Yes,25000000,5444452T5,5444452T5,https://emma.msrb.org/Security/Details/5444452T5,https://emma.msrb.org/Search/Search.aspx?criteria=5444452T5,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452T5%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-05-29,1,Yes,20335000,5444455N5,5444455N5,https://emma.msrb.org/Security/Details/5444455N5,https://emma.msrb.org/Search/Search.aspx?criteria=5444455N5,https://www.google.com/search?q=site%3Aemma.msrb.org%205444455N5%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-08-03,1,Yes,21770000,5444452G3,5444452G3,https://emma.msrb.org/Security/Details/5444452G3,https://emma.msrb.org/Search/Search.aspx?criteria=5444452G3,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452G3%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-09-22,2,Yes,66190000,5444452R9,5444452R9;5444455S4,https://emma.msrb.org/Security/Details/5444452R9,https://emma.msrb.org/Search/Search.aspx?criteria=5444452R9,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452R9%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-09-25,1,Yes,40260000,5444456C8,5444456C8,https://emma.msrb.org/Security/Details/5444456C8,https://emma.msrb.org/Search/Search.aspx?criteria=5444456C8,https://www.google.com/search?q=site%3Aemma.msrb.org%205444456C8%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-10-22,1,Yes,22420000,5444455Q8,5444455Q8,https://emma.msrb.org/Security/Details/5444455Q8,https://emma.msrb.org/Search/Search.aspx?criteria=5444455Q8,https://www.google.com/search?q=site%3Aemma.msrb.org%205444455Q8%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-11-07,1,Yes,39505000,5444452Q1,5444452Q1,https://emma.msrb.org/Security/Details/5444452Q1,https://emma.msrb.org/Search/Search.aspx?criteria=5444452Q1,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452Q1%20%22Official%20Statement%22
City of Madison WI,2023-10-26,10,Yes,42055000,55844RYF5,55844RYF5;55844RYG3;55844RYH1;55844RYJ7;55844RYK4;55844RYL2;55844RYM0;55844RYN8;55844RYP3;55844RYQ1,https://emma.msrb.org/Security/Details/55844RYF5,https://emma.msrb.org/Search/Search.aspx?criteria=55844RYF5,https://www.google.com/search?q=site%3Aemma.msrb.org%2055844RYF5%20%22Official%20Statement%22
City of Madison WI,2024-09-05,15,Yes,18205000,55844RA79,55844RA79;55844RA87;55844RA95;55844RB29;55844RB37;55844RB45;55844RB52;55844RB60;55844RB78;55844RB86;55844RB94;55844RC28;55844RC36;55844RC44;55844RC93,https://emma.msrb.org/Security/Details/55844RA79,https://emma.msrb.org/Search/Search.aspx?criteria=55844RA79,https://www.google.com/search?q=site%3Aemma.msrb.org%2055844RA79%20%22Official%20Statement%22
City of Malden MA,2018-11-28,16,No,7180000,561076R28,561076R28;561076R36;561076R44;561076R51;561076R69;561076R77;561076R85;561076R93;561076S27;561076S35;561076S43;561076S50;561076S68;561076S76;561076S84;561076S92,https://emma.msrb.org/Security/Details/561076R28,https://emma.msrb.org/Search/Search.aspx?criteria=561076R28,https://www.google.com/search?q=site%3Aemma.msrb.org%20561076R28%20%22Official%20Statement%22
City of Manchester NH Sewer Revenue,2024-06-01,10,Yes,23900000,562361AP0,562361AP0;562361AR6;562361AS4;562361AU9;562361AW5;562361AY1;562361BA2;562361BJ3;562361BL8;562361BM6,https://emma.msrb.org/Security/Details/562361AP0,https://emma.msrb.org/Search/Search.aspx?criteria=562361AP0,https://www.google.com/search?q=site%3Aemma.msrb.org%20562361AP0%20%22Official%20Statement%22
City of Manchester NH Sewer Revenue,2024-10-30,14,Yes,40700000,562361AQ8,562361AQ8;562361AT2;562361AV7;562361AX3;562361AZ8;562361BB0;562361BC8;562361BD6;562361BE4;562361BF1;562361BG9;562361BH7;562361BK0;562361BN4,https://emma.msrb.org/Security/Details/562361AQ8,https://emma.msrb.org/Search/Search.aspx?criteria=562361AQ8,https://www.google.com/search?q=site%3Aemma.msrb.org%20562361AQ8%20%22Official%20Statement%22
City of Minneapolis MN,2018-10-31,22,Yes,72640000,60375BDZ6,60375BDZ6;60375BEA0;60375BEB8;60375BEC6;60375BED4;60375BEE2;60375BEF9;60375BEG7;60375BEH5;60375BEJ1;60375BEK8;60375BEL6;60375BEM4;60375BEN2;60375BEP7;60375BEQ5;60375BER3;60375BES1;60375BET9;60375BEU6;60375BEV4;60375BEW2,https://emma.msrb.org/Security/Details/60375BDZ6,https://emma.msrb.org/Search/Search.aspx?criteria=60375BDZ6,https://www.google.com/search?q=site%3Aemma.msrb.org%2060375BDZ6%20%22Official%20Statement%22
