year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2014,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2015,203000,anchorage,0.0,0.0,0.0,Divided,Rep,0.0
2016,203000,anchorage,0.0,0.0,0.0,Divided,Rep,0.0
2017,203000,anchorage,0.0,0.0,0.0,Divided,Rep*,0.0
2018,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2019,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2020,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2021,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2022,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2023,203000,anchorage,0.0,0.0,0.0,Rep,Rep,1.0
2013,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2014,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2015,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2016,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2017,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2018,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2019,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2020,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2021,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2022,404720,avondale,0.0,0.0,0.0,Rep,Rep,1.0
2023,404720,avondale,1.0,0.0,0.0,Divided,Rep,0.0
2013,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2014,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2015,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2016,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2017,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2018,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2019,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2020,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2021,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2022,412000,chandler,0.0,0.0,0.0,Rep,Rep,1.0
2023,412000,chandler,1.0,0.0,0.0,Divided,Rep,0.0
2013,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2014,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2015,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2016,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2017,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2018,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
