jurisdiction,state_abbr,state_name,jurisdiction_type,year,iecc_comm_vintage,iecc_comm_code_type,lag_model_code_yrs,no_statewide_code,home_rule,preemption_of_stricter_local,stretch_code_available,weakening_amendments,state_bps_adopted,state_bps_effective,state_bps_year_enacted,state_bps_first_compliance_year,state_bps_law_name,state_bps_law_id,state_bps_penalty_per_sqft,state_bps_penalty_per_tco2e,bps_adopted,bps_effective,bps_year_enacted,bps_first_compliance_year,years_since_bps,bps_metric,bps_covered_threshold_comm_sqft,bps_covered_threshold_public_sqft,bps_covered_threshold_mf_sqft,bps_covers_municipal,bps_ratchet,bps_penalty_per_sqft,bps_penalty_per_tco2e,bps_law_name,bps_law_id,bps_coalition_member,bps_coalition_launch_day,bps_coalition_joined_year,benchmarking_adopted,benchmarking_effective,benchmarking_year_enacted,benchmarking_first_reporting_year,years_since_benchmarking,benchmarking_threshold_sqft,audit_tuneup_req,any_policy_active,any_policy_effective
Boston,MA,Massachusetts,city,2020,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,0,0,2021,2025,,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,7,35000,1,1,1
Boston,MA,Massachusetts,city,2021,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,1,0,2021,2025,0,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,0,1,2022,1,1,2013,2014,8,35000,1,1,1
Boston,MA,Massachusetts,city,2022,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,1,0,2021,2025,1,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,1,1,2022,1,1,2013,2014,9,35000,1,1,1
Boston,MA,Massachusetts,city,2023,2007,ASHRAE,15,0,0,0,1,0,0,0,,,,,,,1,0,2021,2025,2,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,1,1,2022,1,1,2013,2014,10,35000,1,1,1
Boston,MA,Massachusetts,city,2024,2019,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,1,0,2021,2025,3,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,1,1,2022,1,1,2013,2014,11,35000,1,1,1
Boston,MA,Massachusetts,city,2025,2019,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,1,1,2021,2025,4,GHG (kgCO2e/sqft/yr),20000,20000,20000,1,1,,234,Building Emissions Reduction & Disclosure Ordinance (BERDO),Chpt VII Sec 7-2.1 & 7-2.2,1,1,2022,1,1,2013,2014,12,35000,1,1,1
Boulder,CO,Colorado,city,2010,2006,IECC,3,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2011,2006,IECC,4,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2012,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2013,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2014,2006,IECC,7,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2015,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2016,2017,,20000,1,0,0
Boulder,CO,Colorado,city,2016,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2016,2017,0,20000,1,1,0
Boulder,CO,Colorado,city,2017,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,1,20000,1,1,1
Boulder,CO,Colorado,city,2018,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,2,20000,1,1,1
Boulder,CO,Colorado,city,2019,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,3,20000,1,1,1
Boulder,CO,Colorado,city,2020,2006,IECC,13,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,4,20000,1,1,1
Boulder,CO,Colorado,city,2021,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,5,20000,1,1,1
Boulder,CO,Colorado,city,2022,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2016,2017,6,20000,1,1,1
Boulder,CO,Colorado,city,2023,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2016,2017,7,20000,1,1,1
Boulder,CO,Colorado,city,2024,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2016,2017,8,20000,1,1,1
Boulder,CO,Colorado,city,2025,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2016,2017,9,20000,1,1,1
California,CA,California,state,2010,2008,TITLE24,1,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2018,,50000,0,0,0
California,CA,California,state,2011,2008,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2018,,50000,0,0,0
California,CA,California,state,2012,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2018,,50000,0,0,0
California,CA,California,state,2013,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2018,,50000,0,0,0
California,CA,California,state,2014,2013,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2018,,50000,0,0,0
California,CA,California,state,2015,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2015,2018,0,50000,0,1,0
California,CA,California,state,2016,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2015,2018,1,50000,0,1,0
California,CA,California,state,2017,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2015,2018,2,50000,0,1,0
California,CA,California,state,2018,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2018,3,50000,0,1,1
California,CA,California,state,2019,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2018,4,50000,0,1,1
California,CA,California,state,2020,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2018,5,50000,0,1,1
California,CA,California,state,2021,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2018,6,50000,0,1,1
California,CA,California,state,2022,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2018,7,50000,0,1,1
California,CA,California,state,2023,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2018,8,50000,0,1,1
California,CA,California,state,2024,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2018,9,50000,0,1,1
California,CA,California,state,2025,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,0,2023,1,1,2015,2018,10,50000,0,1,1
Cambridge,MA,Massachusetts,city,2010,2007,ASHRAE,2,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,0,0,2014,2015,,25000,0,0,0
Cambridge,MA,Massachusetts,city,2011,2007,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,0,0,2014,2015,,25000,0,0,0
Cambridge,MA,Massachusetts,city,2012,2007,ASHRAE,5,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,0,0,2014,2015,,25000,0,0,0
Cambridge,MA,Massachusetts,city,2013,2007,ASHRAE,5,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,0,0,2014,2015,,25000,0,0,0
Cambridge,MA,Massachusetts,city,2014,2007,ASHRAE,6,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,0,2014,2015,0,25000,0,1,0
Cambridge,MA,Massachusetts,city,2015,2007,ASHRAE,8,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,1,25000,0,1,1
Cambridge,MA,Massachusetts,city,2016,2007,ASHRAE,8,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,2,25000,0,1,1
Cambridge,MA,Massachusetts,city,2017,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,3,25000,0,1,1
Cambridge,MA,Massachusetts,city,2018,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,4,25000,0,1,1
Cambridge,MA,Massachusetts,city,2019,2007,ASHRAE,9,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,5,25000,0,1,1
Cambridge,MA,Massachusetts,city,2020,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,6,25000,0,1,1
Cambridge,MA,Massachusetts,city,2021,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,0,1,2022,1,1,2014,2015,7,25000,0,1,1
Cambridge,MA,Massachusetts,city,2022,2007,ASHRAE,12,0,0,0,1,0,0,0,,,,,,,0,0,2023,2030,,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,1,1,2022,1,1,2014,2015,8,25000,0,1,1
Cambridge,MA,Massachusetts,city,2023,2007,ASHRAE,15,0,0,0,1,0,0,0,,,,,,,1,0,2023,2030,0,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,1,1,2022,1,1,2014,2015,9,25000,0,1,1
Cambridge,MA,Massachusetts,city,2024,2019,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,1,0,2023,2030,1,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,1,1,2022,1,1,2014,2015,10,25000,0,1,1
Cambridge,MA,Massachusetts,city,2025,2019,ASHRAE,3,0,0,0,1,0,0,0,,,,,,,1,0,2023,2030,2,GHG Intensity,25000,10000,25000,1,1,,,Building Energy Use Disclosure Ordinance (BEUDO),Ordinance 2021-26,1,1,2022,1,1,2014,2015,11,25000,0,1,1
Chicago,IL,Illinois,city,2010,2006,IECC,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2013,2014,,50000,0,0,0
Chicago,IL,Illinois,city,2011,2006,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2013,2014,,50000,0,0,0
Chicago,IL,Illinois,city,2012,2006,IECC,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2013,2014,,50000,0,0,0
Chicago,IL,Illinois,city,2013,2012,IECC,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,0,2013,2014,0,50000,0,1,0
Chicago,IL,Illinois,city,2014,2012,IECC,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,1,50000,0,1,1
Chicago,IL,Illinois,city,2015,2012,IECC,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,2,50000,0,1,1
Chicago,IL,Illinois,city,2016,2015,IECC,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,3,50000,0,1,1
Chicago,IL,Illinois,city,2017,2015,IECC,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,4,50000,0,1,1
Chicago,IL,Illinois,city,2018,2015,IECC,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,5,50000,0,1,1
Chicago,IL,Illinois,city,2019,2015,IECC,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,6,50000,0,1,1
Chicago,IL,Illinois,city,2020,2015,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,7,50000,0,1,1
Chicago,IL,Illinois,city,2021,2015,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,1,2013,2014,8,50000,0,1,1
Chicago,IL,Illinois,city,2022,2015,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2013,2014,9,50000,0,1,1
Chicago,IL,Illinois,city,2023,2015,IECC,7,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2013,2014,10,50000,0,1,1
Chicago,IL,Illinois,city,2024,2015,IECC,7,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2013,2014,11,50000,0,1,1
Chicago,IL,Illinois,city,2025,2022,ASHRAE,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2013,2014,12,50000,0,1,1
Chula Vista,CA,California,city,2010,2008,TITLE24,1,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2011,2008,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2012,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2013,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2014,2013,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2015,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2016,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2017,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2018,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2019,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2020,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,2021,,,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,0,0
Chula Vista,CA,California,city,2021,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,1,0,2021,,0,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,0,1,2022,0,0,,,,,,1,0
Chula Vista,CA,California,city,2022,2019,TITLE24,0,0,0,0,1,0,0,0,,,,,,,1,0,2021,,1,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,1,1,2022,0,0,,,,,,1,0
Chula Vista,CA,California,city,2023,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,1,0,2021,,2,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,1,1,2022,0,0,,,,,,1,0
Chula Vista,CA,California,city,2024,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,1,0,2021,,3,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,1,1,2022,0,0,,,,,,1,0
Chula Vista,CA,California,city,2025,2022,TITLE24,0,0,0,0,1,0,0,0,,,,,,,1,0,2021,,4,ENERGY STAR or weather-normalized Site EUI,20000,20000,20000,1,1,,,Building Energy Saving Ordinance,Ordinance 3498,1,1,2022,0,0,,,,,,1,0
Colorado,CO,Colorado,state,2010,2006,IECC,3,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2011,2006,IECC,4,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2012,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2013,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2014,2006,IECC,7,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2015,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2016,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2017,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2018,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2019,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2020,2006,IECC,13,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,2021,2026,,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,0,0,2021,2022,,50000,0,0,0
Colorado,CO,Colorado,state,2021,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,1,0,2021,2026,0,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,0,1,2022,1,0,2021,2022,0,50000,0,1,0
Colorado,CO,Colorado,state,2022,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,1,0,2021,2026,1,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,1,1,2022,1,1,2021,2022,1,50000,0,1,1
Colorado,CO,Colorado,state,2023,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,1,0,2021,2026,2,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,1,1,2022,1,1,2021,2022,2,50000,0,1,1
Colorado,CO,Colorado,state,2024,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,1,0,2021,2026,3,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,1,1,2022,1,1,2021,2022,3,50000,0,1,1
Colorado,CO,Colorado,state,2025,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,1,0,2021,2026,4,Site EUI or GHGI,50000,50000,50000,1,1,,,Energy Performance for Buildings,HB21-1286,1,1,2022,1,1,2021,2022,4,50000,0,1,1
Columbus,OH,Ohio,city,2010,2006,IECC,3,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2011,2007,ASHRAE,3,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2012,2007,ASHRAE,5,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2013,2007,ASHRAE,5,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2014,2007,ASHRAE,6,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2015,2007,ASHRAE,8,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2016,2007,ASHRAE,8,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2017,2013,ASHRAE,3,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Columbus,OH,Ohio,city,2018,2013,ASHRAE,3,0,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
