fips7,pct_college_educated,pct_nonwhite,median_home_value
203000,37.03430430128758,44.75804509519256,363800
107000,29.431467223454693,76.61289920221923,123000
120104,23.656429942418423,40.968274663189916,170000
121184,26.90977871786528,43.30329990523204,175900
135896,60.17895320294561,32.25283982825153,366200
137000,45.80551862157828,43.088943146145795,236300
150000,30.248958727754637,60.32278494600571,158400
151000,33.08713345757426,72.1502960178962,141900
177256,38.08076348322239,51.410720530827916,228300
523290,50.69831886199889,23.828166108901094,291300
535710,30.725526262006948,34.06779877263042,196100
541000,44.068836082047646,55.36747470551583,205800
550450,30.623580471789335,55.048561764979674,165600
560410,32.71294508553725,45.72690498992296,248900
404720,20.761547837793586,72.56820678368867,306000
412000,46.15364199038145,44.79932370164504,423900
423620,52.79232999338792,39.17061580267009,466600
427400,47.07470314143995,32.87686096674861,454300
427820,22.642533479748067,56.42587359875526,310000
439370,18.590427897873855,20.009075993995886,363300
446000,29.999500615418057,39.70797989630307,327700
454050,34.82256657945931,35.74273884950756,383600
455000,31.16422047387797,58.7771271783758,340200
465000,61.2994738287936,22.06063931952257,651800
471510,30.99411076600379,34.09070615628713,352600
473000,48.86993826514597,46.541808237341506,382100
477000,29.39414595259689,57.64953339260267,218200
485540,20.329882376629698,69.4083933799863,186500
600562,59.834573443382055,58.712047959775674,1147600
602000,28.079532547624087,76.4084111422571,713600
602252,22.950203975911414,74.63309452597899,570900
603526,23.282848385124517,70.22786350449272,320600
603666,14.130457412920821,96.58399821458461,553400
606000,73.75194401244168,48.084194916999635,1280300
611194,59.48422374935344,32.76656934942699,1070500
611530,29.62408244976644,93.657581370733,616000
612048,25.958525220045235,70.26018012470172,381800
613210,28.12150993969176,81.96861814345992,599200
613392,31.20353681719323,83.93606733718939,647100
614890,17.548738449059993,87.3737467336311,376600
615044,10.427518095109248,99.15631393558458,489400
616532,42.51609609086041,51.235985290160556,959800
621712,22.97401705488468,44.290159949300524,593500
622020,36.99590381682006,68.48641435507226,560500
622230,13.684813910005323,96.65906037798348,597200
622678,64.70097845640824,24.03700235704369,1354600
622804,26.607956152413276,65.07669706314438,616400
623182,27.7684606393251,71.57008876235136,546200
624680,19.998280524596314,87.21371948451588,506600
626000,61.94618938923172,81.92967503660482,1231500
627000,24.447226826163195,74.62975137019691,321800
628168,26.895152925991656,91.54479354721168,619900
629000,23.466693574155357,82.72633523074862,702600
629504,29.39798870367819,76.12784516832492,915200
632548,24.373011827975887,90.4067695279266,731200
633000,31.482990336513613,85.4042913537814,775700
636546,22.831549935149155,94.67726532217291,689700
636770,70.01789179245522,64.32631589317204,1025700
640004,37.69150538880519,47.76803310997241,684200
640130,19.409011825345875,74.29212958912898,368800
641992,48.69473513425813,46.32260137228354,965600
643000,33.652262150091765,72.76402627770699,709700
644000,36.71118615227026,71.92644963039557,822600
645022,10.458240946045825,87.94022520364159,296800
645484,19.318385972476733,63.48379560651751,506900
646898,16.855989762771927,76.85377369249366,322600
647766,56.185017561640485,89.43761695240985,1155000
648354,19.716463049255907,59.45407406050167,381800
648914,33.46512036548937,94.63617394760375,770100
649270,17.170776383294136,86.48235978967259,421400
650258,35.863211918169505,48.21980740348087,771700
650398,15.916558018252932,89.75596769899725,505800
653000,48.41260010281248,71.04322503283275,883800
653322,33.57045733426193,55.717755954916484,644600
653896,19.23332653658277,86.07352290643468,513000
653980,40.266963292547274,58.98737097053226,848200
654652,19.221823290665004,86.66099792860355,587200
655156,16.690254353893934,82.40690254351539,397500
656000,54.484266070947115,65.73636535469707,981600
656700,10.146091562289708,93.00211711311977,383800
656784,42.95890906623849,30.833417110686632,805800
656924,14.483148982335322,95.45004142232906,596500
657792,68.14455834399264,58.19979413147628,1338200
658072,18.1771429171171,89.86524817961569,524700
659451,36.95522288976665,67.02443101158583,657400
660018,64.94851438453072,44.478901161144144,1192300
660466,12.253964238850331,91.02943016953395,418300
660620,32.074052719319134,82.50893019313435,624800
662000,24.41657284624829,72.6847340513041,485500
664000,35.84249048556339,69.21485867074102,450500
664224,15.034716132426828,87.89431328824263,573600
665000,12.781712813908563,86.1622956827014,347100
666000,48.68474890004958,58.481040645613,783300
667000,59.78954733127261,61.705497769777075,1348700
668000,46.0220959577834,76.11968325249507,1149600
668084,32.93684210526316,79.27844588344126,772700
668196,41.4965873699556,56.627808393387035,728800
668364,49.63072043497961,44.20357688328325,1212000
668378,70.48386812877334,65.19118893623939,1254900
669000,17.938520797378754,90.93612607144348,624000
669070,50.631333059755676,44.87138989169676,1346800
669084,64.63501529219606,69.89176779271892,1440200
669196,14.521741958565062,85.0451420903207,438100
670224,31.86961336607444,33.57312133384877,601600
672016,35.97744150985538,43.20468003139045,704200
675000,18.321922134357393,82.39540043120958,382000
677000,67.9937720463402,72.54889275617347,1680700
680000,52.67760284504146,66.59699973874902,962300
680238,24.431218040070416,72.56958107777554,617300
680812,26.112551069718403,58.058865717753505,400500
681204,44.95347310706977,85.67523236741388,1006600
681344,33.6529242569511,65.12232551650665,647400
681554,26.348636402496368,52.47513061959441,560400
681666,27.45277063889265,77.43742607806156,515500
682996,27.22913927770474,62.58232376615985,622900
684550,26.030089135526875,79.20739645623249,777100
684816,32.26805898215618,58.037774864760074,460400
685292,28.279663773475082,77.52576365676217,707700
686328,28.850277264325324,63.61245855586588,476400
803455,47.550731266524615,22.106024409666357,553000
804000,31.849786495603173,57.15982227913329,409700
807850,76.55257293017995,21.85313045272894,919700
816000,41.1053273336098,33.753742608608626,383000
820000,54.24859124696062,46.14335959482273,540400
827425,58.32942738848528,21.95451474893042,497400
832155,26.76197604790419,46.64332230960917,346400
843000,44.383030093989824,31.837539785717482,494100
845970,46.029592204980155,30.449115809609083,488100
846465,39.51851716447921,17.461437908496734,426900
862000,21.750935835925556,56.50542941757158,197700
877290,30.700034342561512,48.9030247039824,445200
883835,42.19877575359303,34.781215909681215,467200
908000,24.741441593016695,67.59749444332188,227200
908420,29.599943753076,35.77605975234227,235700
918430,34.03856636685745,55.29749236605903,355500
937000,17.486539724228496,85.11197204622616,198900
946450,19.737836561171466,49.5029394279675,199100
950370,19.745953432009003,62.11124885463267,188700
952000,38.52656150526986,67.80809807272942,236500
955990,42.6324315322544,55.32344865458539,491800
973000,50.38274686914097,57.747779016785685,584700
980000,16.673207744636315,69.5632424877708,162800
982800,26.716259890783462,50.34516408847767,247800
1150000,62.63609274529711,63.654231292882216,705000
1077580,32.171273239548405,70.017174874004,203600
1207300,58.97647897362794,27.3065931822821,597100
1207875,30.64414324629593,56.61937353249738,285500
1207950,27.00378396972824,42.13280759924724,252400
1210275,24.639048725122738,33.024654118404115,302400
1212875,31.872789917490252,34.44830062230733,287900
1214400,39.18116589872315,63.64451685712365,453100
1216475,40.24494879601439,59.26328422524829,405100
1216525,24.84233669553143,48.76106315373181,211800
1216725,26.831870275542553,57.44260019663409,243900
1217100,39.69885187276492,47.41319809140834,352400
1217200,18.641091036820963,54.36936411897471,226800
1224000,40.29627596567764,54.329868125010265,417600
1225175,49.960175497806276,44.69083095763057,216600
1230000,19.937444092909328,96.97617894491381,324300
1232000,31.690562613430128,63.958786101437504,345300
1235000,30.983377963152638,51.53372489878478,243000
1235875,49.914988814317674,23.36605061878344,489700
1236950,23.719769015265577,84.01207981854787,253000
1238250,26.664909506237922,42.306213069473095,207800
1239425,26.512378234162686,28.440411431894454,184500
1239550,19.894790085988873,92.36622649924988,224500
1243975,32.181942544459645,30.479395636723073,247300
1245000,34.225451442185175,88.05179583694905,433900
