,label,beta,se,p,stars,n,r2,compulsion,ordinal,dem_rate,rep_rate,fisher_p,odds_ratio
Y_water_only,Water/Sewer,-0.009668602852285761,0.004446035337947533,0.029655812889977106,*,6054,0.05375291124697534,fully compelled,5,,,,
Y_clean_trans,Clean Transportation,-0.0017443406695452765,0.001475198764462684,0.2370293738571293,,6054,0.04156072208030337,moderately compelled,4,,,,
Y_renewable,Renewable Energy,-0.0024115121692387187,0.004062345435619239,0.5527625675209393,,885,0.12448320544265246,muni utility compelled,3,,,,
Y_energy_eff,Energy Efficiency,-0.001182287254458039,0.0013461523470564964,0.3797963929575747,,6054,0.02103561649977137,weakly compelled,2,,,,
Y_green_bldg,Green Buildings,-0.0036753174089567383,0.0016477260410425432,0.02571167275351477,*,6054,0.036184801276083034,weakly compelled,2,,,,
Y_climate_adapt,Climate Adaptation,,,0.1520065991433713,,6054,,none,1,0.11108025548458762,0.0,0.1520065991433713,inf
Y_pollution_control,Pollution Control,,,0.4115054855285104,,6054,,none,1,0.13885031935573452,0.040766408479412965,0.4115054855285104,3.409343715239155
