fips7,year,iija_water_grant_amt,iija_water_grant_n,iija_water_grant_any,ira_eecbg_grant_amt,ira_eecbg_grant_n,ira_eecbg_grant_any,iija_transit_grant_amt,iija_transit_grant_n,iija_transit_grant_any,fema_resil_grant_amt,fema_resil_grant_n,fema_resil_grant_any,ira_ggrf_grant_amt,ira_ggrf_grant_n,ira_ggrf_grant_any,total_federal_grant_amt,total_federal_grant_n,total_federal_grant_any,asinh_iija_water_grant_amt,asinh_ira_eecbg_grant_amt,asinh_iija_transit_grant_amt,asinh_fema_resil_grant_amt,asinh_ira_ggrf_grant_amt,asinh_total_federal_grant_amt,iija_water_grant_amt_lag1,iija_water_grant_amt_lag2,iija_water_grant_n_lag1,iija_water_grant_n_lag2,iija_water_grant_any_lag1,iija_water_grant_any_lag2,ira_eecbg_grant_amt_lag1,ira_eecbg_grant_amt_lag2,ira_eecbg_grant_n_lag1,ira_eecbg_grant_n_lag2,ira_eecbg_grant_any_lag1,ira_eecbg_grant_any_lag2,iija_transit_grant_amt_lag1,iija_transit_grant_amt_lag2,iija_transit_grant_n_lag1,iija_transit_grant_n_lag2,iija_transit_grant_any_lag1,iija_transit_grant_any_lag2,fema_resil_grant_amt_lag1,fema_resil_grant_amt_lag2,fema_resil_grant_n_lag1,fema_resil_grant_n_lag2,fema_resil_grant_any_lag1,fema_resil_grant_any_lag2,ira_ggrf_grant_amt_lag1,ira_ggrf_grant_amt_lag2,ira_ggrf_grant_n_lag1,ira_ggrf_grant_n_lag2,ira_ggrf_grant_any_lag1,ira_ggrf_grant_any_lag2,total_federal_grant_amt_lag1,total_federal_grant_amt_lag2,total_federal_grant_n_lag1,total_federal_grant_n_lag2,total_federal_grant_any_lag1,total_federal_grant_any_lag2,asinh_iija_water_grant_amt_lag1,asinh_iija_water_grant_amt_lag2,asinh_ira_eecbg_grant_amt_lag1,asinh_ira_eecbg_grant_amt_lag2,asinh_iija_transit_grant_amt_lag1,asinh_iija_transit_grant_amt_lag2,asinh_fema_resil_grant_amt_lag1,asinh_fema_resil_grant_amt_lag2,asinh_ira_ggrf_grant_amt_lag1,asinh_ira_ggrf_grant_amt_lag2,asinh_total_federal_grant_amt_lag1,asinh_total_federal_grant_amt_lag2,total_federal_grant_cum,asinh_total_federal_grant_cum
107000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
107000,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
107000,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107000,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107000,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107000,2018,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,15.545210563983172,0.0,0.0,15.545210563983172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,15.545210563983172
107000,2019,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,15.545210563983172,0.0,0.0,15.545210563983172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.545210563983172,0.0,0.0,0.0,0.0,0.0,15.545210563983172,0.0,5638962.0,16.238357744543094
107000,2020,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,1.0,1.0,0.0,0.0,15.545210563983172,0.0,0.0,15.545210563983172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,2819481.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,2819481.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.545210563983172,15.545210563983172,0.0,0.0,0.0,0.0,15.545210563983172,15.545210563983172,8458443.0,16.643822852651255
107000,2021,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2.0,1.0,0.0,0.0,15.953690001546907,0.0,0.0,15.953690001546907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,2819481.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819481.0,2819481.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.545210563983172,15.545210563983172,0.0,0.0,0.0,0.0,15.545210563983172,15.545210563983172,12700432.0,17.050293747158275
107000,2022,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2.0,1.0,0.0,0.0,15.953690001546907,0.0,0.0,15.953690001546907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2819481.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241989.0,2819481.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.953690001546907,15.545210563983172,0.0,0.0,0.0,0.0,15.953690001546907,15.545210563983172,16942421.0,17.33847833371132
