year,fips7,city_name,epa_state_insp_rate_npdes,epa_state_response_rate_npdes,epa_state_response_rate_air,epa_state_insp_rate_npdes_norm,epa_state_response_rate_npdes_norm,epa_state_stringency_index
2013,107000,birmingham,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,107000,birmingham,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,107000,birmingham,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,107000,birmingham,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,107000,birmingham,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,107000,birmingham,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,107000,birmingham,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,107000,birmingham,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,107000,birmingham,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,107000,birmingham,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,107000,birmingham,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,120104,decatur,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,120104,decatur,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,120104,decatur,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,120104,decatur,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,120104,decatur,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,120104,decatur,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,120104,decatur,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,120104,decatur,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,120104,decatur,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,120104,decatur,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,120104,decatur,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,121184,dothan,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,121184,dothan,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,121184,dothan,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,121184,dothan,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,121184,dothan,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,121184,dothan,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,121184,dothan,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,121184,dothan,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,121184,dothan,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,121184,dothan,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,121184,dothan,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,135896,hoover,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,135896,hoover,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,135896,hoover,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,135896,hoover,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,135896,hoover,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,135896,hoover,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,135896,hoover,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,135896,hoover,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,135896,hoover,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,135896,hoover,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,135896,hoover,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,137000,huntsville,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,137000,huntsville,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,137000,huntsville,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,137000,huntsville,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,137000,huntsville,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,137000,huntsville,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,137000,huntsville,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,137000,huntsville,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,137000,huntsville,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,137000,huntsville,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,137000,huntsville,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,150000,mobile,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,150000,mobile,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,150000,mobile,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,150000,mobile,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,150000,mobile,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,150000,mobile,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,150000,mobile,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,150000,mobile,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,150000,mobile,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,150000,mobile,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,150000,mobile,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,151000,montgomery,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,151000,montgomery,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,151000,montgomery,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,151000,montgomery,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,151000,montgomery,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,151000,montgomery,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,151000,montgomery,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,151000,montgomery,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,151000,montgomery,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,151000,montgomery,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,151000,montgomery,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
2013,177256,tuscaloosa,,13.0,1.2222222222222223,0.0,0.1361256544502617,0.0453752181500872
2014,177256,tuscaloosa,,4.4375,3.0,0.0,0.1584821428571428,0.0528273809523809
2015,177256,tuscaloosa,,1.9230769230769231,3.1666666666666665,0.0,0.1678876678876678,0.0559625559625559
2016,177256,tuscaloosa,,0.835820895522388,1.818181818181818,0.0,0.1044776119402985,0.0348258706467661
2017,177256,tuscaloosa,,0.7866666666666666,1.1,0.0,0.1992612137203166,0.0664204045734388
2018,177256,tuscaloosa,,0.575,3.0,0.0,0.0574999999999999,0.0191666666666666
2019,177256,tuscaloosa,,0.4456521739130434,2.555555555555556,0.0,0.0990338164251207,0.0330112721417069
2020,177256,tuscaloosa,,0.2123893805309734,1.2,0.0,0.0424778761061946,0.0141592920353982
2021,177256,tuscaloosa,,0.3333333333333333,1.1666666666666667,0.0,0.037037037037037,0.0123456790123456
2022,177256,tuscaloosa,,0.1709844559585492,1.8461538461538465,0.0,0.0244263508512213,0.0081421169504071
2023,177256,tuscaloosa,,0.3195266272189349,1.818181818181818,0.0,0.1076760962956958,0.0358920320985652
