fips7,lat,lng,source
5101000,38.8053594,-77.0429004,bloomberg_issuer
820000,39.7392358,-104.990251,bloomberg_issuer
2507000,42.360406,-71.057993,bloomberg_issuer
3611000,42.8866194,-78.879325,bloomberg_issuer
1714000,41.8942604,-87.6251068,bloomberg_issuer
613392,32.6405044,-117.0846946,bloomberg_issuer
1517000,21.400298,-158.0477509,bloomberg_issuer
667000,37.7749295,-122.4194155,bloomberg_issuer
3502000,35.0841034,-106.650985,bloomberg_issuer
3702140,35.5954562,-82.54838,bloomberg_issuer
1304000,33.7484101,-84.3902728,bloomberg_issuer
804000,39.7294319,-104.8319195,bloomberg_issuer
2605920,42.3167801,-85.1793173,bloomberg_issuer
4105800,44.0581728,-121.3153096,bloomberg_issuer
606000,37.8694612,-122.2708857,bloomberg_issuer
1805860,39.1670396,-86.5342881,bloomberg_issuer
2706616,44.840798,-93.2982799,bloomberg_issuer
1608830,43.6151036,-116.2013756,bloomberg_issuer
807850,40.0189728,-105.2747406,bloomberg_issuer
3915000,39.1042566,-84.5190652,bloomberg_issuer
3916000,41.5051831,-81.6937128,bloomberg_issuer
4516000,34.000754,-81.0352313,bloomberg_issuer
1718823,39.8403,-88.9548,bloomberg_issuer
1820728,41.6873832,-85.973517,bloomberg_issuer
3728000,36.0725632,-79.791534,bloomberg_issuer
4131250,45.5069294,-122.4359844,bloomberg_issuer
5135000,37.0287675,-76.3432263,bloomberg_issuer
2642160,42.2893828,-85.585609,bloomberg_issuer
541000,34.7444618,-92.2880157,bloomberg_issuer
643000,33.7681775,-118.1967417,bloomberg_issuer
644000,34.0537136,-118.2426533,bloomberg_issuer
5548000,43.0721661,-89.4007501,bloomberg_issuer
2537875,42.4273696,-71.0729412,bloomberg_issuer
3345140,42.9909973,-71.4638904,bloomberg_issuer
5553000,43.041751,-87.9097564,bloomberg_issuer
2743000,44.9772839,-93.2652365,bloomberg_issuer
1849932,41.6619927,-86.1586156,bloomberg_issuer
650258,38.2967151,-122.2894621,bloomberg_issuer
1751622,41.7707619,-88.1525876,bloomberg_issuer
5157000,36.8473833,-76.2887359,bloomberg_issuer
1253000,28.5383832,-81.3789269,bloomberg_issuer
5560500,44.02017250000001,-88.541298,bloomberg_issuer
2360545,43.6573605,-70.2586618,bloomberg_issuer
4159000,45.5148105,-122.6791086,bloomberg_issuer
5357745,47.4796927,-122.2079218,bloomberg_issuer
669084,37.3541079,-121.9552356,bloomberg_issuer
3570500,35.6894307,-105.9381944,bloomberg_issuer
5363000,47.6038962,-122.3298441,bloomberg_issuer
5367000,47.6604146,-117.4237414,bloomberg_issuer
3974118,39.9235765,-83.8098962,bloomberg_issuer
2757220,44.9475726,-93.3569023,bloomberg_issuer
973000,41.0527986,-73.5394821,bloomberg_issuer
5370000,47.2558552,-122.4418416,bloomberg_issuer
1270675,26.2137988,-80.2727894,bloomberg_issuer
1271000,27.9516896,-82.4587527,bloomberg_issuer
2071000,39.0473451,-95.6751576,bloomberg_issuer
681666,38.10230310000001,-122.2603052,bloomberg_issuer
5182000,36.8516437,-75.9792194,bloomberg_issuer
485540,32.7220154,-114.620126,bloomberg_issuer
1150000,38.9009846,-77.0084603,bloomberg_issuer
952000,41.283931,-72.899217,bloomberg_issuer
135896,33.3870964,-86.8057556,bloomberg_issuer
2758000,44.9537,-93.09,bloomberg_issuer
3651000,40.7536,-74.0022,bloomberg_issuer
1836000,39.76909,-86.158018,bloomberg_issuer
3712000,34.3398913,-78.6436254,bloomberg_issuer
