fips7,year,gravity_city_peer_all,gravity_city_peer_self,gravity_county_all,gravity_county_self,gravity_special_all,gravity_special_self,gravity_all_all,gravity_all_self
5101000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5101000,2014,1.930987803393135e-05,0.0,0.001020571199842058,0.0,0.0,0.0,0.004153853116933948,0.0
5101000,2015,0.008219017662521479,0.008199707784487548,0.0010472505979011598,2.667939805910195e-05,0.0,0.0,0.021118025540513286,0.008686844931395953
5101000,2016,0.15418242894166026,0.1539583930595552,0.0010472505979011598,2.667939805910195e-05,0.0,0.0,0.17760059679789092,0.15616369148311157
5101000,2017,0.15431039811957853,0.1540477424814056,0.0011014229924716289,2.667939805910195e-05,0.0,0.0,0.19657465329252036,0.1746729630067504
5101000,2018,0.17080847139951374,0.1705265260177423,0.001390221379459984,2.667939805910195e-05,0.0,0.0,0.2191457346600796,0.19609682848548982
5101000,2019,0.2203843503916741,0.22010240500990264,0.04282467889712854,0.04125743051175285,0.0,0.0,0.3131296400389476,0.2893982543796651
5101000,2020,0.26497945562943365,0.2646975102476622,0.043040939224960516,0.0412779265451606,0.0,0.0,0.3791647362607705,0.3521815544623414
5101000,2021,0.267372616893723,0.26663556933408167,0.043262383465355284,0.04145876946770449,0.000546302548999956,0.000546302548999956,0.41550349793421804,0.3844983048988695
5101000,2022,0.27003052037168856,0.2692934728120472,0.09099896856119478,0.08903126311672657,0.0007010069372680415,0.0007010069372680415,0.7425995963616594,0.6948952148127537
5101000,2023,0.57441279645097,0.5729689408732427,0.10287486857719703,0.0892145596485451,0.0007010069372680415,0.0007010069372680415,1.2820603504177026,1.2212193599572694
5101000,2024,0.57441279645097,0.5729689408732427,0.10421177905772042,0.0905514701290685,0.0007010069372680415,0.0007010069372680415,1.5385652751616052,1.4764903786907575
5101000,2025,0.5748598027785269,0.5729689408732428,0.1052369517242326,0.09143756502463839,0.0007010069372680415,0.0007010069372680415,1.567159061303558,1.4861993225336716
820000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820000,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820000,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820000,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820000,2017,0.14092590880158046,0.14092590880158046,0.0,0.0,0.0,0.0,0.14092590880158046,0.14092590880158046
820000,2018,0.14092590880158046,0.14092590880158046,0.0,0.0,0.0,0.0,0.14092590880158046,0.14092590880158046
820000,2019,0.14092590880158046,0.14092590880158046,0.0,0.0,0.0,0.0,0.14092590880158046,0.14092590880158046
820000,2020,0.14100219705698566,0.14100219705698566,0.0,0.0,0.0,0.0,0.14187535413874394,0.14169480765927903
820000,2021,0.14100219705698566,0.14100219705698566,0.0,0.0,0.0035778467789595553,0.0035778467789595553,0.1527902151374378,0.15260966865797287
820000,2022,0.3019615000129102,0.3019615000129102,0.0,0.0,0.07906470755589451,0.07906470755589451,0.40814271787342216,0.40498587624357996
820000,2023,0.3154502781192408,0.3019615000129102,0.0006436674099529868,0.0006436674099529868,0.07906470755589451,0.07906470755589451,0.42227516338970567,0.4056295436535329
820000,2024,0.41843459608962663,0.3019615000129102,0.0006436674099529868,0.0006436674099529868,0.07906470755589451,0.07906470755589451,0.5252594813600915,0.4056295436535329
820000,2025,0.5206384101413171,0.3019615000129102,0.0006436674099529868,0.0006436674099529868,0.08189058957926898,0.08016435150039443,0.6340645935098026,0.41049985244953513
2507000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2507000,2014,0.0009564405040766747,0.0,0.0,0.0,0.0,0.0,2.4929130976441582,0.0
2507000,2015,0.0009564405040766747,0.0,3.2030395093828425e-05,3.2030395093828425e-05,0.0,0.0,6.838152655271675,4.34491956285266
