CUSIP,Issuer_Name,Issue_Date,primary_prospectus,bloomberg_self_reported_green,bloomberg_industry,federally_compelled,state_compelled_substantive,state_legal_compelled,voter_compelled,n_state_compulsion_hits,kw_calgreen,kw_title_24,kw_energy_code,kw_leed_required,kw_energy_star,kw_ashrae,kw_sb_32,kw_ab_32,kw_cap_and_trade,kw_state_ghg_target,kw_rps,kw_renewable_mandate,kw_clean_energy_mandate,kw_executive_order,kw_state_statute,kw_state_law_required,kw_voter_approved,kw_measure_prop,kw_rate_covenant,kw_seismic_retrofit,kw_unsafe_building,kw_required_by_law,kw_statutory_mandate
849103AB2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AL0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AR7,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AU0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AP1,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AQ9,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AV8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AN6,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AS5,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AT3,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AM8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
167505QS8,Chicago Board of Education,2015-04-29,ER866541-ER677151-ER1078929,Yes,School District,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
793071PD7,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PH8,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PJ4,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PL9,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PC9,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PB1,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PE5,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PG0,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PK1,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071NU1,City of St Paul MN Sewer Revenue,2015-05-05,P21845120-P21411829-P21854445,Yes,Water/Sewer,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,1,0
793071NY3,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071PA3,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
