CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
793071PD7,City of St Paul MN Sewer Revenue,2015-05-05,Yes,470000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PH8,City of St Paul MN Sewer Revenue,2015-05-05,Yes,530000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PJ4,City of St Paul MN Sewer Revenue,2015-05-05,Yes,545000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PL9,City of St Paul MN Sewer Revenue,2015-05-05,Yes,575000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PC9,City of St Paul MN Sewer Revenue,2015-05-05,Yes,460000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PB1,City of St Paul MN Sewer Revenue,2015-05-05,Yes,445000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PE5,City of St Paul MN Sewer Revenue,2015-05-05,Yes,485000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PG0,City of St Paul MN Sewer Revenue,2015-05-05,Yes,510000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PK1,City of St Paul MN Sewer Revenue,2015-05-05,Yes,560000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NU1,City of St Paul MN Sewer Revenue,2015-05-05,Yes,390000.0,MN,4,full;prefix+suffix,ER861983-ER673540-ER1075290;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
793071NY3,City of St Paul MN Sewer Revenue,2015-05-05,Yes,420000.0,MN,1,full,ER861983-ER673540-ER1075290
793071PA3,City of St Paul MN Sewer Revenue,2015-05-05,Yes,435000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NS6,City of St Paul MN Sewer Revenue,2015-05-05,Yes,360000.0,MN,10,full;prefix+split_suffix;prefix+suffix,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
793071NV9,City of St Paul MN Sewer Revenue,2015-05-05,Yes,395000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NX5,City of St Paul MN Sewer Revenue,2015-05-05,Yes,410000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NZ0,City of St Paul MN Sewer Revenue,2015-05-05,Yes,430000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NW7,City of St Paul MN Sewer Revenue,2015-05-05,Yes,405000.0,MN,1,full,ER861983-ER673540-ER1075290
793071NT4,City of St Paul MN Sewer Revenue,2015-05-05,Yes,375000.0,MN,11,full;prefix+split_suffix;prefix+suffix,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
793071PF2,City of St Paul MN Sewer Revenue,2015-05-05,Yes,500000.0,MN,1,full,ER861983-ER673540-ER1075290
79771KAN6,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,13100000.0,CA,2,prefix+split_suffix;prefix+suffix,ER881975-ER689101-ER1090744;P21525393-P21179406-P21596352
79771KAD8,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1125000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAF3,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1240000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAE6,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1185000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAB2,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1020000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAC0,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1075000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAG1,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1305000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAJ5,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1435000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAK2,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1510000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
