Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
City of Norfolk VA,2016-10-19,2,2,No,10500000,VA,1,EP953346-EP739582-EP1141192
City of Olathe KS Water & Sewer System Revenue,2023-07-01,3,3,No,805000,KS,1,P11672937-P11287754-P11717236
City of Olathe KS Water & Sewer System Revenue,2023-07-11,17,17,No,4475000,KS,1,P11672937-P11287754-P11717236
City of Orlando FL Reclamation System Revenue,2024-10-30,30,30,No,149725000,FL,1,P11797579-P11378568-P11817122
City of Oshkosh WI Storm Water Utility Revenue,2022-07-07,19,19,No,8405000,WI,2,P11609142-P11240564-P11664310;P11671453-P11286636-P11715977
City of Oshkosh WI Storm Water Utility Revenue,2023-05-01,1,1,No,80000,WI,1,P11671453-P11286636-P11715977
City of Oshkosh WI Storm Water Utility Revenue,2023-06-22,18,18,No,5570000,WI,2,P11609142-P11240564-P11664310;P11671453-P11286636-P11715977
City of Portland ME General Airport Revenue,2019-12-05,30,20,Yes,58450000,ME,1,ER1272920-ER993617-ER1396484
City of Portland OR,2016-11-29,10,10,Yes,16220000,OR,1,ES992715-ES777205-ES1178513
City of Portland OR Water System Revenue,2016-12-15,25,24,No,168525000,OR,2,EP972015-EP753901-EP1155503;P21565303-P21209256-P21630047
City of Portland OR Water System Revenue,2022-04-07,15,15,No,42645000,OR,1,P21565303-P21209256-P21630047
City of Renton WA,2013-07-01,1,0,No,3200000,WA,0,
City of San Francisco CA Public Utilities Commission Water Revenue,,1,1,Yes,3275000,CA,1,P11837901-P11408439-P11850619
City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,22,22,Yes,259350000,CA,2,ES997086-ES780844-ES1182154;P11411213-P11096461-P11505380
City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,23,23,Yes,121140000,CA,4,ER1108407-ER866317-ER1267002;P11411213-P11096461-P11505380;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,27,27,Yes,384585000,CA,5,ER1108407-ER866317-ER1267002;ES1078538-ES842358-ES1243371;P11411213-P11096461-P11505380;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,32,23,Yes,648405000,CA,3,ER1294533-ES1040166-ES1443450;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-01,1,1,Yes,29910000,CA,1,P11837901-P11408439-P11850619
City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-23,3,3,Yes,150895000,CA,1,P11411213-P11096461-P11505380
City of San Francisco CA Public Utilities Commission Water Revenue,2020-10-21,2,2,Yes,341435000,CA,2,P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2023-07-27,36,36,No,414035000,CA,3,P11687086-P11297878-P11728349;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2023-08-10,20,20,Yes,486875000,CA,3,P11687086-P11297878-P11728349;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2025-01-17,2,2,Yes,6730000,CA,3,P11687086-P11297878-P11728349;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-11,3,3,Yes,63180000,CA,3,P11687086-P11297878-P11728349;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-17,17,17,Yes,383395000,CA,1,P11837901-P11408439-P11850619
City of San Francisco CA Public Utilities Commission Water Revenue,2025-04-23,1,1,Yes,11380000,CA,1,P11837901-P11408439-P11850619
City of Santa Clara CA Sewer Revenue,2023-10-24,25,25,Yes,34585000,CA,1,P21733144-P21331413-P21765253
City of Santa Fe NM Wastewater Utility System Revenue,2019-03-20,16,16,Yes,13550000,NM,1,ES1249162-ES976727-ES1377889
City of Seattle WA Municipal Light & Power Revenue,2016-01-28,1,1,No,31870000,WA,1,ES758050-ES594885-ES990593
City of Seattle WA Municipal Light & Power Revenue,2020-08-05,30,30,Yes,198305000,WA,2,ES758050-ES594885-ES990593;SS1393189-SS1083903-SS1491943
City of Seattle WA Water System Revenue,2021-06-17,12,12,Yes,82220000,WA,1,P21467249-P21138349-P21551271
City of Seattle WA Water System Revenue,2022-07-28,27,27,Yes,93260000,WA,1,P21594452-P21230082-P21652868
City of Spokane WA Water & Wastewater Revenue,2014-12-02,20,20,Yes,181225000,WA,1,EA665289-EA521356-EA917540
City of Springfield OH,2019-03-27,21,10,Yes,8920000,OH,1,ER1205814-ER944110-ER1345157
City of St Louis Park MN,2018-12-28,1,1,Yes,43650000,MN,1,ES1226847-ES956288-ES1357279
City of St Paul MN Sewer Revenue,2015-05-05,19,19,Yes,8700000,MN,11,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2016-04-14,19,19,Yes,7715000,MN,1,ES778368-ES612030-ES1007776
City of St Paul MN Sewer Revenue,2017-04-06,17,17,Yes,7975000,MN,11,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2018-10-10,19,19,Yes,7710000,MN,11,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2019-06-19,20,20,Yes,7345000,MN,11,EP985874-EP764592-EP1166360;ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2020-03-11,20,20,Yes,15700000,MN,9,ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2021-09-15,18,18,Yes,14665000,MN,10,ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ER861983-ER673540-ER1075290;ES1272341-ES995769-ES1397201;ES778368-ES612030-ES1007776;P11522928-P11177998-P11594334;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2022-09-14,20,20,Yes,7675000,MN,2,EP985874-EP764592-EP1166360;P11620089-P11248857-P11673211
City of St Paul MN Sewer Revenue,2023-10-12,11,11,Yes,5340000,MN,1,P11698661-P11306161-P11737312
City of St Paul MN Sewer Revenue,2023-12-12,7,7,Yes,2455000,MN,2,ES778368-ES612030-ES1007776;P11698661-P11306161-P11737312
City of St Paul MN Sewer Revenue,2024-09-17,20,20,Yes,8630000,MN,7,ER1151669-ER900832-ER1301301;ER1312402-ER1022705-ER1428839;ES1272341-ES995769-ES1397201;P11620089-P11248857-P11673211;P11698661-P11306161-P11737312;P21845120-P21411829-P21854445;P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2025-03-31,1,1,Yes,395000,MN,1,P21949006-P21488358-P21939864
City of St Paul MN Sewer Revenue,2025-08-19,19,19,Yes,10105000,MN,1,P21949006-P21488358-P21939864
City of Stamford CT Water Pollution Control System & Facility Revenue,2020-12-09,26,26,No,39615000,CT,1,P21417099-P21101135-P21510519
City of Tacoma WA Electric System Revenue,2021-09-14,9,9,Yes,121855000,WA,1,P11528735-P21155952-P21570195
City of Tacoma WA Electric System Revenue,2024-02-15,11,11,Yes,95300000,WA,1,P21771544-P21359989-P21797159
City of Tacoma WA Electric System Revenue,2025-01-01,1,1,Yes,60985000,WA,1,P22018038-P11427523-P11871837
City of Tacoma WA Electric System Revenue,2025-03-07,10,10,Yes,161760000,WA,3,P11528735-P21155952-P21570195;P21771544-P21359989-P21797159;P22018038-P11427523-P11871837
City of Tacoma WA Regional Water Supply System Revenue,2024-02-14,9,9,Yes,32350000,WA,1,P21769256-P21358222-P21795217
City of Tacoma WA Solid Waste Utility Revenue,2015-03-18,9,9,Yes,21095000,WA,1,EA696473-EA546297-EA942538
City of Tacoma WA Water Revenue,2024-01-25,12,12,Yes,63800000,WA,1,P11725514-P11326261-P11759898
City of Tamarac FL Water & Sewer Utility Revenue,2016-11-09,23,23,Yes,21865000,FL,1,ER990522-ER774681-ER1175984
City of Tampa FL,2018-04-26,23,23,Yes,84560000,FL,2,ES1137721-ES890247-ES1291554;P21496670-P21158908-P21573465
City of Tampa FL,2021-10-07,21,20,Yes,36615000,FL,1,P21496670-P21158908-P21573465
City of Tampa FL Water & Wastewater System Revenue,2022-06-21,12,12,Yes,282545000,FL,1,P21580179-P21219787-P21641518
City of Topeka KS Combined Utility Revenue,2023-09-12,28,28,No,89385000,KS,1,P11692854-P11302028-P11732844
City of Vallejo CA Water Revenue,2021-02-24,22,22,Yes,42600000,CA,1,P31413949-P31099429-P31509183
City of Virginia Beach VA,2024-06-04,20,20,No,118000000,VA,1,P21813485-P21391076-P21831848
City of Warren MI Water & Sewer System Revenue,2020-12-09,19,19,Yes,8725000,MI,1,P11443793-P11119503-P11530007
City of Westminster CO Water & Wastewater Utility Revenue,2024-09-25,25,25,No,186900000,CO,1,P11788970-P11372633-P11810608
City of Yuma AZ Water & Sewer Revenue,2021-12-28,20,20,Yes,71040000,AZ,1,P31433916-P31114116-P31525247
Denver Wastewater Management Division Department of Public Works,2018-02-22,27,27,No,103050000,CO,1,ES1103078-ES861962-ES1263095
District of Columbia,2022-05-05,27,27,Yes,158835000,DC,1,P11591594-P11227520-P11649431
District of Columbia Water & Sewer Authority,2014-07-23,1,1,Yes,350000000,DC,1,ER785601-ER610965-ER1013035
District of Columbia Water & Sewer Authority,2015-10-15,14,14,Yes,100000000,DC,6,ER785601-ER610965-ER1013035;ES1143696-ES894297-ES1295573;ES1311861-ES1025042-ES1426916;ES732753-ES574207-ES970101;P21554235-P21200604-P21620362;P21946866-P21486848-P21938256
District of Columbia Water & Sewer Authority,2017-02-23,2,2,Yes,100000000,DC,1,EP975656-EP756739-EP1158361
District of Columbia Water & Sewer Authority,2018-04-30,6,6,Yes,100000000,DC,1,ES1143696-ES894297-ES1295573
District of Columbia Water & Sewer Authority,2019-11-06,5,5,Yes,104010000,DC,1,ES1311861-ES1025042-ES1426916
District of Columbia Water & Sewer Authority,2022-03-23,9,9,Yes,72435000,DC,5,ER785601-ER610965-ER1013035;ES1143696-ES894297-ES1295573;ES1311861-ES1025042-ES1426916;ES732753-ES574207-ES970101;P21554235-P21200604-P21620362
District of Columbia Water & Sewer Authority,2022-07-23,1,1,Yes,7150000,DC,1,P21554235-P21200604-P21620362
District of Columbia Water & Sewer Authority,2025-08-13,21,21,No,160615000,DC,1,P21946866-P21486848-P21938256
Gilbert Water Resource Municipal Property Corp,2022-06-14,22,22,Yes,473005000,AZ,1,P21755397-P11238816-P11662055
Greater New Haven Water Pollution Control Authority,2024-08-15,7,7,No,25115000,CT,1,P11769132-P11359000-P11796058
Hoover Industrial Development Board,2020-11-24,1,1,Yes,63400000,AL,1,P11441870-P11118127-P11528507
Housing & Redevelopment Authority of The City of St Paul Minnesota,2020-06-01,1,1,Yes,11800000,MN,1,RE1353670-RE1052433-RE1461244
Hudson Yards Infrastructure Corp,2021-10-27,22,22,Yes,454140000,NY,1,P11539380-P11189325-P11606560
Indianapolis Local Public Improvement Bond Bank,2019-10-16,15,15,No,50000000,IN,1,ER1262285-ER985960-ER1388083
Indianapolis Local Public Improvement Bond Bank,2022-02-24,22,22,Yes,50000000,IN,1,P11568220-P11210716-P11630729
Indianapolis Local Public Improvement Bond Bank,2022-03-31,28,28,Yes,65000000,IN,1,P11689191-P11216480-P11637253
Inlivian,2020-04-01,1,1,Yes,13500000,NC,1,RE1330055-RE1036113-RE1443630
