CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
397730RG9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
655867SG5,City of Norfolk VA,2013-11-07,ER710847-ER551237-ER952297,1,prefix+suffix,96830,0,39,0.403,0,,0,,No,No,No,Energy Efficiency,General Obligation,5157000.0,VA
254845JZ4,District of Columbia Water & Sewer Authority,2014-07-23,ER785601-ER610965-ER1013035,1,full,106149,0,201,1.894,0,,0,,Yes,Yes,Yes,"Pollution Control, Sustainable Water",Water/Sewer,1150000.0,DC
849103AA4,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AD8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AG1,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AJ5,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AK2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AC0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
849103AF3,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,1,full,130064,0,158,1.215,0,,0,,Yes,Yes,Yes,Sustainable Water,Water/Sewer,5367000.0,WA
