CUSIP,Issuer_Name,Issue_Date,primary_prospectus,prospectus_total_words,bloomberg_industry,bloomberg_project_category,bloomberg_self_reported_green,n_compliance_keywords,compliance_density_per_1k,compelled_by_text,compelled_by_text_strict,kw_clean_water_act,kw_safe_drinking_water,kw_cercla,kw_npdes,kw_consent_decree,kw_epa_enforcement,kw_administrative_order,kw_ms4_permit,kw_compliance_schedule,kw_court_order,kw_regulatory_mandate,kw_tmdl,kw_violation,kw_enforcement_action
397730RF1,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RH7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RK0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RP9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RA2,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RG9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
655867SG5,City of Norfolk VA,2013-11-07,ER710847-ER551237-ER952297,96830,General Obligation,Energy Efficiency,No,4,0.041,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
254845JZ4,District of Columbia Water & Sewer Authority,2014-07-23,ER785601-ER610965-ER1013035,106149,Water/Sewer,"Pollution Control, Sustainable Water",Yes,48,0.452,1,1,7,7,0,21,9,0,1,0,1,1,1,0,0,0
849103AA4,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AD8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AG1,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AJ5,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AK2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AC0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AF3,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AH9,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AE6,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AB2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AL0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
849103AR7,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,130064,Water/Sewer,Sustainable Water,Yes,9,0.069,0,0,3,1,0,2,0,0,0,0,0,0,2,1,0,0
