filename,url,bytes,seconds,status,error,lead_CUSIP,Issuer_Name,Issue_Date
P21963220-P21497913-P21950218.pdf,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf,8140800,1.72,ok,,04780M2K4,City of Atlanta GA Department of Aviation,
P11836470-P11407478-P11849595.pdf,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf,0,0.41,http_error,503 Service Unavailable,5444452H1,City of Los Angeles Department of Airports,
P11837901-P11408439-P11850619.pdf,https://emma.msrb.org/P11837901-P11408439-P11850619.pdf,5592517,0.49,ok,,79771FGL5,City of San Francisco CA Public Utilities Commission Water Revenue,
ER710847-ER551237-ER952297.pdf,https://emma.msrb.org/ER710847-ER551237-ER952297.pdf,1947957,0.3,ok,,655867SG5,City of Norfolk VA,2013-11-07
ER890479-ER695548-ER1097054.pdf,https://emma.msrb.org/ER890479-ER695548-ER1097054.pdf,0,0.06,http_error,503 Service Unavailable,53945CCZ1,City of Los Angeles CA Wastewater System Revenue,2015-06-30
ES732753-ES574207-ES970101.pdf,https://emma.msrb.org/ES732753-ES574207-ES970101.pdf,1772554,0.28,ok,,254845LC2,District of Columbia Water & Sewer Authority,2015-10-15
ES778368-ES612030-ES1007776.pdf,https://emma.msrb.org/ES778368-ES612030-ES1007776.pdf,0,0.04,http_error,503 Service Unavailable,793071PM7,City of St Paul MN Sewer Revenue,2016-04-14
ES821894-ES644906-ES1040084.pdf,https://emma.msrb.org/ES821894-ES644906-ES1040084.pdf,0,0.04,http_error,503 Service Unavailable,544552ZY1,Port of Los Angeles,2016-10-13
ES997086-ES780844-ES1182154.pdf,https://emma.msrb.org/ES997086-ES780844-ES1182154.pdf,0,0.04,http_error,503 Service Unavailable,79765RM89,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14
EP975656-EP756739-EP1158361.pdf,https://emma.msrb.org/EP975656-EP756739-EP1158361.pdf,2390139,0.32,ok,,254845MX5,District of Columbia Water & Sewer Authority,2017-02-23
EP985874-EP764592-EP1166360.pdf,https://emma.msrb.org/EP985874-EP764592-EP1166360.pdf,0,0.04,http_error,503 Service Unavailable,793071QU8,City of St Paul MN Sewer Revenue,2017-04-06
EP996982-EP772996-EP1174766.pdf,https://emma.msrb.org/EP996982-EP772996-EP1174766.pdf,1714299,0.37,ok,,53945CFQ8,City of Los Angeles CA Wastewater System Revenue,2017-05-24
ER1108407-ER866317-ER1267002.pdf,https://emma.msrb.org/ER1108407-ER866317-ER1267002.pdf,0,0.05,http_error,503 Service Unavailable,79765RQ69,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13
ES1137721-ES890247-ES1291554.pdf,https://emma.msrb.org/ES1137721-ES890247-ES1291554.pdf,0,0.38,http_error,503 Service Unavailable,875143AA7,City of Tampa FL,2018-04-26
ES1143696-ES894297-ES1295573.pdf,https://emma.msrb.org/ES1143696-ES894297-ES1295573.pdf,0,0.04,http_error,503 Service Unavailable,254845NZ9,District of Columbia Water & Sewer Authority,2018-04-30
ES1184461-ES925614-ES1326629.pdf,https://emma.msrb.org/ES1184461-ES925614-ES1326629.pdf,2911461,0.33,ok,,79768HDZ8,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09
ES1195945-ER896332-ER1296861.pdf,https://emma.msrb.org/ES1195945-ER896332-ER1296861.pdf,0,0.04,http_error,503 Service Unavailable,438687DW2,City & County of Honolulu HI,2018-09-05
ER1151669-ER900832-ER1301301.pdf,https://emma.msrb.org/ER1151669-ER900832-ER1301301.pdf,0,0.04,http_error,503 Service Unavailable,793071RQ6,City of St Paul MN Sewer Revenue,2018-10-10
ES1208424-ES943762-ES1344533.pdf,https://emma.msrb.org/ES1208424-ES943762-ES1344533.pdf,3074026,0.52,ok,,60375BDZ6,City of Minneapolis MN,2018-10-31
ER1165936-ER911496-ER1311964.pdf,https://emma.msrb.org/ER1165936-ER911496-ER1311964.pdf,3294504,0.37,ok,,53945CJC5,City of Los Angeles CA Wastewater System Revenue,2018-11-15
ES1226847-ES956288-ES1357279.pdf,https://emma.msrb.org/ES1226847-ES956288-ES1357279.pdf,28345178,2.08,ok,,85233GAA2,City of St Louis Park MN,2018-12-28
ER1196139-ER936152-ER1337167.pdf,https://emma.msrb.org/ER1196139-ER936152-ER1337167.pdf,1924150,0.25,ok,,79772ECA5,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26
ES1272341-ES995769-ES1397201.pdf,https://emma.msrb.org/ES1272341-ES995769-ES1397201.pdf,5503825,0.51,ok,,793071SL6,City of St Paul MN Sewer Revenue,2019-06-19
ER1252791-ER979149-ER1380636.pdf,https://emma.msrb.org/ER1252791-ER979149-ER1380636.pdf,5938771,0.51,ok,,544552B43,Port of Los Angeles,2019-09-18
ES1311861-ES1025042-ES1426916.pdf,https://emma.msrb.org/ES1311861-ES1025042-ES1426916.pdf,8341253,0.65,ok,,254845QB9,District of Columbia Water & Sewer Authority,2019-11-06
