year,fips7,city_name,state_abb,muni_aaa_yield,c40_member,mayors_climate_signatory,iclei_member,climate_commitment_score,state_rps_active,state_rps_target_pct,state_carbon_pricing,state_carbon_price,state_climate_plan
2023,1263000,st. petersburg,FL,3.61,0,0,0,0,0,0.0,0,0.0,1
2013,1269700,sunrise,FL,3.67,0,0,0,0,0,0.0,0,0.0,1
2014,1269700,sunrise,FL,3.38,0,0,0,0,0,0.0,0,0.0,1
2015,1269700,sunrise,FL,3.16,0,0,0,0,0,0.0,0,0.0,1
2016,1269700,sunrise,FL,2.84,0,0,0,0,0,0.0,0,0.0,1
2017,1269700,sunrise,FL,3.0,0,0,0,0,0,0.0,0,0.0,1
2018,1269700,sunrise,FL,3.27,0,0,0,0,0,0.0,0,0.0,1
2019,1269700,sunrise,FL,2.86,0,0,0,0,0,0.0,0,0.0,1
2020,1269700,sunrise,FL,2.21,0,0,0,0,0,0.0,0,0.0,1
2021,1269700,sunrise,FL,1.79,0,0,0,0,0,0.0,0,0.0,1
2022,1269700,sunrise,FL,3.07,0,0,0,0,0,0.0,0,0.0,1
2023,1269700,sunrise,FL,3.61,0,0,0,0,0,0.0,0,0.0,1
2013,1270600,tallahassee,FL,3.67,0,0,0,0,0,0.0,0,0.0,1
2014,1270600,tallahassee,FL,3.38,0,0,0,0,0,0.0,0,0.0,1
2015,1270600,tallahassee,FL,3.16,0,0,0,0,0,0.0,0,0.0,1
2016,1270600,tallahassee,FL,2.84,0,0,0,0,0,0.0,0,0.0,1
2017,1270600,tallahassee,FL,3.0,0,0,0,0,0,0.0,0,0.0,1
2018,1270600,tallahassee,FL,3.27,0,0,0,0,0,0.0,0,0.0,1
2019,1270600,tallahassee,FL,2.86,0,0,0,0,0,0.0,0,0.0,1
2020,1270600,tallahassee,FL,2.21,0,0,0,0,0,0.0,0,0.0,1
2021,1270600,tallahassee,FL,1.79,0,0,0,0,0,0.0,0,0.0,1
2022,1270600,tallahassee,FL,3.07,0,0,0,0,0,0.0,0,0.0,1
2023,1270600,tallahassee,FL,3.61,0,0,0,0,0,0.0,0,0.0,1
2017,1270675,tamarac,FL,3.0,0,0,0,0,0,0.0,0,0.0,1
2019,1270675,tamarac,FL,2.86,0,0,0,0,0,0.0,0,0.0,1
2020,1270675,tamarac,FL,2.21,0,0,0,0,0,0.0,0,0.0,1
2021,1270675,tamarac,FL,1.79,0,0,0,0,0,0.0,0,0.0,1
2022,1270675,tamarac,FL,3.07,0,0,0,0,0,0.0,0,0.0,1
2023,1270675,tamarac,FL,3.61,0,0,0,0,0,0.0,0,0.0,1
2013,1271000,tampa,FL,3.67,0,1,1,2,0,0.0,0,0.0,1
2014,1271000,tampa,FL,3.38,0,1,1,2,0,0.0,0,0.0,1
2015,1271000,tampa,FL,3.16,0,1,1,2,0,0.0,0,0.0,1
2016,1271000,tampa,FL,2.84,0,1,1,2,0,0.0,0,0.0,1
2017,1271000,tampa,FL,3.0,0,1,1,2,0,0.0,0,0.0,1
2018,1271000,tampa,FL,3.27,0,1,1,2,0,0.0,0,0.0,1
2019,1271000,tampa,FL,2.86,0,1,1,2,0,0.0,0,0.0,1
2020,1271000,tampa,FL,2.21,0,1,1,2,0,0.0,0,0.0,1
2021,1271000,tampa,FL,1.79,0,1,1,2,0,0.0,0,0.0,1
2022,1271000,tampa,FL,3.07,0,1,1,2,0,0.0,0,0.0,1
2023,1271000,tampa,FL,3.61,0,1,1,2,0,0.0,0,0.0,1
2013,1276600,west palm beach,FL,3.67,0,0,0,0,0,0.0,0,0.0,1
2014,1276600,west palm beach,FL,3.38,0,0,0,0,0,0.0,0,0.0,1
2015,1276600,west palm beach,FL,3.16,0,0,0,0,0,0.0,0,0.0,1
2016,1276600,west palm beach,FL,2.84,0,0,0,0,0,0.0,0,0.0,1
2017,1276600,west palm beach,FL,3.0,0,0,0,0,0,0.0,0,0.0,1
2018,1276600,west palm beach,FL,3.27,0,0,0,0,0,0.0,0,0.0,1
2019,1276600,west palm beach,FL,2.86,0,0,0,0,0,0.0,0,0.0,1
2020,1276600,west palm beach,FL,2.21,0,0,0,0,0,0.0,0,0.0,1
2021,1276600,west palm beach,FL,1.79,0,0,0,0,0,0.0,0,0.0,1
2022,1276600,west palm beach,FL,3.07,0,0,0,0,0,0.0,0,0.0,1
2023,1276600,west palm beach,FL,3.61,0,0,0,0,0,0.0,0,0.0,1
2013,1301052,albany,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1301052,albany,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1301052,albany,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1301052,albany,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1301052,albany,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1301052,albany,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1301052,albany,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1301052,albany,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1301052,albany,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1301052,albany,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1301052,albany,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1301696,alpharetta,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1301696,alpharetta,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1301696,alpharetta,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1301696,alpharetta,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1301696,alpharetta,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1301696,alpharetta,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1301696,alpharetta,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1301696,alpharetta,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1301696,alpharetta,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1301696,alpharetta,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1301696,alpharetta,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1304000,atlanta,GA,3.67,0,1,1,2,0,0.0,0,0.0,0
2014,1304000,atlanta,GA,3.38,0,1,1,2,0,0.0,0,0.0,0
2015,1304000,atlanta,GA,3.16,0,1,1,2,0,0.0,0,0.0,0
2016,1304000,atlanta,GA,2.84,0,1,1,2,0,0.0,0,0.0,0
2017,1304000,atlanta,GA,3.0,0,1,1,2,0,0.0,0,0.0,0
2018,1304000,atlanta,GA,3.27,0,1,1,2,0,0.0,0,0.0,0
2019,1304000,atlanta,GA,2.86,1,1,1,3,0,0.0,0,0.0,0
2020,1304000,atlanta,GA,2.21,1,1,1,3,0,0.0,0,0.0,0
2021,1304000,atlanta,GA,1.79,1,1,1,3,0,0.0,0,0.0,0
2022,1304000,atlanta,GA,3.07,1,1,1,3,0,0.0,0,0.0,0
2023,1304000,atlanta,GA,3.61,1,1,1,3,0,0.0,0,0.0,0
2013,1304204,augusta-richmond county,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1304204,augusta-richmond county,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1304204,augusta-richmond county,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1304204,augusta-richmond county,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1304204,augusta-richmond county,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1304204,augusta-richmond county,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1304204,augusta-richmond county,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1304204,augusta-richmond county,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1304204,augusta-richmond county,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1304204,augusta-richmond county,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1304204,augusta-richmond county,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1319000,columbus,GA,3.67,0,1,1,2,0,0.0,0,0.0,0
2014,1319000,columbus,GA,3.38,0,1,1,2,0,0.0,0,0.0,0
2015,1319000,columbus,GA,3.16,0,1,1,2,0,0.0,0,0.0,0
2016,1319000,columbus,GA,2.84,0,1,1,2,0,0.0,0,0.0,0
2017,1319000,columbus,GA,3.0,0,1,1,2,0,0.0,0,0.0,0
2018,1319000,columbus,GA,3.27,0,1,1,2,0,0.0,0,0.0,0
2019,1319000,columbus,GA,2.86,0,1,1,2,0,0.0,0,0.0,0
2020,1319000,columbus,GA,2.21,1,1,1,3,0,0.0,0,0.0,0
2021,1319000,columbus,GA,1.79,1,1,1,3,0,0.0,0,0.0,0
2022,1319000,columbus,GA,3.07,1,1,1,3,0,0.0,0,0.0,0
2023,1319000,columbus,GA,3.61,1,1,1,3,0,0.0,0,0.0,0
2013,1349756,marietta,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1349756,marietta,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1349756,marietta,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1349756,marietta,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1349756,marietta,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1349756,marietta,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1349756,marietta,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1349756,marietta,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1349756,marietta,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1349756,marietta,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1349756,marietta,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1367284,roswell,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1367284,roswell,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1367284,roswell,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1367284,roswell,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1367284,roswell,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1367284,roswell,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1367284,roswell,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1367284,roswell,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1367284,roswell,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1367284,roswell,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1367284,roswell,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1369000,savannah,GA,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1369000,savannah,GA,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1369000,savannah,GA,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1369000,savannah,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1369000,savannah,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1369000,savannah,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1369000,savannah,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1369000,savannah,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1369000,savannah,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1369000,savannah,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1369000,savannah,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2016,1371492,smyrna,GA,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1371492,smyrna,GA,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1371492,smyrna,GA,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1371492,smyrna,GA,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1371492,smyrna,GA,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1371492,smyrna,GA,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1371492,smyrna,GA,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1371492,smyrna,GA,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1517000,honolulu,HI,3.67,0,0,0,0,1,100.0,0,0.0,1
2014,1517000,honolulu,HI,3.38,0,0,0,0,1,100.0,0,0.0,1
2015,1517000,honolulu,HI,3.16,0,0,0,0,1,100.0,0,0.0,1
2016,1517000,honolulu,HI,2.84,0,0,0,0,1,100.0,0,0.0,1
2017,1517000,honolulu,HI,3.0,0,0,0,0,1,100.0,0,0.0,1
2018,1517000,honolulu,HI,3.27,0,0,0,0,1,100.0,0,0.0,1
2019,1517000,honolulu,HI,2.86,0,0,0,0,1,100.0,0,0.0,1
2020,1517000,honolulu,HI,2.21,0,0,0,0,1,100.0,0,0.0,1
2021,1517000,honolulu,HI,1.79,0,0,0,0,1,100.0,0,0.0,1
2022,1517000,honolulu,HI,3.07,0,0,0,0,1,100.0,0,0.0,1
2023,1517000,honolulu,HI,3.61,0,0,0,0,1,100.0,0,0.0,1
2013,1608830,boise city,ID,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1608830,boise city,ID,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1608830,boise city,ID,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1608830,boise city,ID,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1608830,boise city,ID,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1608830,boise city,ID,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1608830,boise city,ID,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1608830,boise city,ID,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1608830,boise city,ID,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1608830,boise city,ID,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1608830,boise city,ID,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1639700,idaho falls,ID,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1639700,idaho falls,ID,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1639700,idaho falls,ID,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1639700,idaho falls,ID,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1639700,idaho falls,ID,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1639700,idaho falls,ID,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1639700,idaho falls,ID,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1639700,idaho falls,ID,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1639700,idaho falls,ID,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1639700,idaho falls,ID,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1639700,idaho falls,ID,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1652120,meridian,ID,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,1652120,meridian,ID,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1652120,meridian,ID,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1652120,meridian,ID,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1652120,meridian,ID,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1652120,meridian,ID,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1652120,meridian,ID,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1652120,meridian,ID,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1652120,meridian,ID,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1652120,meridian,ID,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1652120,meridian,ID,3.61,0,0,0,0,0,0.0,0,0.0,0
2018,1656260,nampa,ID,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1656260,nampa,ID,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1656260,nampa,ID,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1656260,nampa,ID,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1656260,nampa,ID,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1656260,nampa,ID,3.61,0,0,0,0,0,0.0,0,0.0,0
2014,1664090,pocatello,ID,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,1664090,pocatello,ID,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,1664090,pocatello,ID,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,1664090,pocatello,ID,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,1664090,pocatello,ID,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,1664090,pocatello,ID,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,1664090,pocatello,ID,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,1664090,pocatello,ID,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,1664090,pocatello,ID,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,1664090,pocatello,ID,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,1702154,arlington heights,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1702154,arlington heights,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1702154,arlington heights,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1702154,arlington heights,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1702154,arlington heights,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1702154,arlington heights,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1702154,arlington heights,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1702154,arlington heights,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1702154,arlington heights,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1702154,arlington heights,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1702154,arlington heights,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1703012,aurora,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1703012,aurora,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1703012,aurora,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1703012,aurora,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1703012,aurora,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1703012,aurora,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1703012,aurora,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1703012,aurora,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1703012,aurora,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1703012,aurora,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1703012,aurora,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1705573,berwyn,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1705573,berwyn,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1705573,berwyn,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1705573,berwyn,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1705573,berwyn,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1705573,berwyn,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1705573,berwyn,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1705573,berwyn,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1705573,berwyn,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1705573,berwyn,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1705573,berwyn,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1706613,bloomington,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1706613,bloomington,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1706613,bloomington,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1706613,bloomington,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1706613,bloomington,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1706613,bloomington,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1706613,bloomington,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1706613,bloomington,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1706613,bloomington,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1706613,bloomington,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1706613,bloomington,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1707133,bolingbrook,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1707133,bolingbrook,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1707133,bolingbrook,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1707133,bolingbrook,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1707133,bolingbrook,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1707133,bolingbrook,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1707133,bolingbrook,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1707133,bolingbrook,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1707133,bolingbrook,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1707133,bolingbrook,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1707133,bolingbrook,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1712385,champaign,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1712385,champaign,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1712385,champaign,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1712385,champaign,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1712385,champaign,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1712385,champaign,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1712385,champaign,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1712385,champaign,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1712385,champaign,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1712385,champaign,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1712385,champaign,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1714000,chicago,IL,3.67,1,1,1,3,1,25.0,0,0.0,1
2014,1714000,chicago,IL,3.38,1,1,1,3,1,25.0,0,0.0,1
2015,1714000,chicago,IL,3.16,1,1,1,3,1,25.0,0,0.0,1
2016,1714000,chicago,IL,2.84,1,1,1,3,1,25.0,0,0.0,1
2017,1714000,chicago,IL,3.0,1,1,1,3,1,25.0,0,0.0,1
2018,1714000,chicago,IL,3.27,1,1,1,3,1,25.0,0,0.0,1
2019,1714000,chicago,IL,2.86,1,1,1,3,1,25.0,0,0.0,1
2020,1714000,chicago,IL,2.21,1,1,1,3,1,25.0,0,0.0,1
2021,1714000,chicago,IL,1.79,1,1,1,3,1,25.0,0,0.0,1
2022,1714000,chicago,IL,3.07,1,1,1,3,1,25.0,0,0.0,1
2023,1714000,chicago,IL,3.61,1,1,1,3,1,25.0,0,0.0,1
2013,1714351,cicero,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1714351,cicero,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1714351,cicero,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1714351,cicero,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1714351,cicero,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1714351,cicero,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1714351,cicero,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1714351,cicero,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1714351,cicero,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1714351,cicero,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1714351,cicero,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1718823,decatur,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1718823,decatur,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1718823,decatur,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1718823,decatur,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1718823,decatur,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1718823,decatur,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1718823,decatur,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1718823,decatur,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1718823,decatur,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1718823,decatur,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1718823,decatur,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1719642,des plaines,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1719642,des plaines,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1719642,des plaines,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1719642,des plaines,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1719642,des plaines,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1719642,des plaines,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1719642,des plaines,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1719642,des plaines,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1719642,des plaines,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1719642,des plaines,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1719642,des plaines,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1720591,downers grove,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1720591,downers grove,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1720591,downers grove,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1720591,downers grove,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1720591,downers grove,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1720591,downers grove,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1720591,downers grove,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1720591,downers grove,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1720591,downers grove,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1720591,downers grove,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1720591,downers grove,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1723074,elgin,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
2014,1723074,elgin,IL,3.38,0,0,0,0,1,25.0,0,0.0,1
2015,1723074,elgin,IL,3.16,0,0,0,0,1,25.0,0,0.0,1
2016,1723074,elgin,IL,2.84,0,0,0,0,1,25.0,0,0.0,1
2017,1723074,elgin,IL,3.0,0,0,0,0,1,25.0,0,0.0,1
2018,1723074,elgin,IL,3.27,0,0,0,0,1,25.0,0,0.0,1
2019,1723074,elgin,IL,2.86,0,0,0,0,1,25.0,0,0.0,1
2020,1723074,elgin,IL,2.21,0,0,0,0,1,25.0,0,0.0,1
2021,1723074,elgin,IL,1.79,0,0,0,0,1,25.0,0,0.0,1
2022,1723074,elgin,IL,3.07,0,0,0,0,1,25.0,0,0.0,1
2023,1723074,elgin,IL,3.61,0,0,0,0,1,25.0,0,0.0,1
2013,1724582,evanston,IL,3.67,0,0,0,0,1,25.0,0,0.0,1
