year,fips7,city_name,state_abb,muni_aaa_yield,c40_member,mayors_climate_signatory,iclei_member,climate_commitment_score,state_rps_active,state_rps_target_pct,state_carbon_pricing,state_carbon_price,state_climate_plan
2014,177256,tuscaloosa,AL,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,177256,tuscaloosa,AL,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,177256,tuscaloosa,AL,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,177256,tuscaloosa,AL,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,177256,tuscaloosa,AL,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,177256,tuscaloosa,AL,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,177256,tuscaloosa,AL,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,177256,tuscaloosa,AL,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,177256,tuscaloosa,AL,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,177256,tuscaloosa,AL,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,203000,anchorage,AK,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,203000,anchorage,AK,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,203000,anchorage,AK,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,203000,anchorage,AK,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,203000,anchorage,AK,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,203000,anchorage,AK,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,203000,anchorage,AK,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,203000,anchorage,AK,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,203000,anchorage,AK,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,203000,anchorage,AK,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,203000,anchorage,AK,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,404720,avondale,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,404720,avondale,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,404720,avondale,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,404720,avondale,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,404720,avondale,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,404720,avondale,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,404720,avondale,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,404720,avondale,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,404720,avondale,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,404720,avondale,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,404720,avondale,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,412000,chandler,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,412000,chandler,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,412000,chandler,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,412000,chandler,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,412000,chandler,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,412000,chandler,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,412000,chandler,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,412000,chandler,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,412000,chandler,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,412000,chandler,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,412000,chandler,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,423620,flagstaff,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,423620,flagstaff,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,423620,flagstaff,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,423620,flagstaff,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,423620,flagstaff,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,423620,flagstaff,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,423620,flagstaff,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,423620,flagstaff,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,423620,flagstaff,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,423620,flagstaff,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,423620,flagstaff,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,427400,gilbert,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,427400,gilbert,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,427400,gilbert,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,427400,gilbert,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,427400,gilbert,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,427400,gilbert,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,427400,gilbert,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,427400,gilbert,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,427400,gilbert,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,427400,gilbert,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,427400,gilbert,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
